ADDR |  SYS |  PAR |  APR
0EB  |   -7 |    2 |    2
0EC  |   -7 |   -6 |   -1
0ED  |    1 |   -2 |   -1
0EE  |    3 |   -2 |   -2
0EF  |    6 |   -5 |   -1
0F0  |    1 |    3 |    2
0F1  |   -4 |   -6 |   -1
0F2  |    5 |    4 |    2
0F3  |    1 |   -7 |   -2
0F4  |   -5 |   -2 |    0
0F5  |   -1 |    4 |   -1
0F6  |   -2 |   -3 |    0
0F7  |    0 |    6 |    2
0F8  |    3 |    6 |   -1
0F9  |    1 |    3 |    1
0FA  |    6 |    1 |    0
0FB  |   -3 |   -7 |   -1
0FC  |   -7 |    7 |    0
0FD  |   -5 |    7 |   -1
0FE  |    2 |   -1 |   -2
0FF  |    4 |    7 |    0
100  |    0 |   -3 |    1
101  |    7 |   -3 |    1
102  |    3 |    6 |    2
103  |   -2 |   -6 |   -1
104  |    0 |    3 |    0
105  |    1 |   -5 |    2
106  |   -4 |   -1 |    0
107  |   -7 |   -2 |   -1
108  |    6 |    4 |    1
109  |   -7 |   -6 |   -2
10A  |    2 |   -2 |    1
10B  |   -4 |   -6 |    2
10C  |    4 |   -6 |   -2
10D  |    6 |   -6 |    2
10E  |   -1 |    6 |   -1
10F  |   -6 |    7 |   -2
110  |   -5 |    3 |    2
111  |   -7 |   -5 |   -1
112  |   -3 |    7 |    1
113  |   -7 |   -6 |   -1
114  |    0 |   -4 |    0
115  |   -7 |    1 |   -1
116  |    3 |   -2 |   -1
117  |   -7 |   -7 |    0
118  |   -6 |    0 |    2
119  |   -6 |    7 |    2
11A  |    4 |    4 |   -1
11B  |   -2 |    6 |    0
11C  |   -1 |   -1 |    0
11D  |   -3 |    2 |    1
11E  |   -7 |   -5 |    2
11F  |   -7 |   -7 |   -2
120  |   -5 |   -3 |    2
121  |    6 |    5 |    2
122  |   -6 |   -4 |    1
123  |   -3 |    2 |   -2
124  |    4 |    0 |    1
125  |    2 |   -7 |   -2
126  |   -2 |    2 |   -1
127  |   -1 |   -7 |   -2
128  |   -4 |    4 |    1
129  |   -1 |   -4 |    2
12A  |    3 |    0 |   -2
12B  |    0 |   -3 |   -2
12C  |    3 |   -6 |    0
12D  |   -7 |   -2 |    2
12E  |    7 |   -3 |   -1
12F  |   -2 |   -6 |    1
130  |    0 |    5 |   -1
131  |   -3 |    6 |    2
132  |   -4 |    3 |   -2
133  |   -6 |    3 |   -2
134  |   -2 |    3 |    2
135  |   -2 |   -5 |   -2
136  |    3 |    7 |   -2
137  |    7 |    1 |   -2
138  |   -7 |   -1 |    1
139  |    1 |   -1 |    1
13A  |    4 |    7 |    0
13B  |    3 |    3 |   -1
13C  |   -2 |   -2 |    2
13D  |    5 |    0 |    2
13E  |   -5 |   -4 |    2
13F  |   -4 |    0 |    0
140  |    4 |   -4 |    1
141  |    3 |    0 |    0
142  |   -4 |    1 |    2
143  |   -5 |   -5 |   -1
144  |    2 |   -5 |   -2
145  |   -5 |    3 |    1
146  |    7 |    5 |    1
147  |   -5 |   -6 |    0
148  |   -4 |    5 |    1
149  |   -1 |    2 |    2
14A  |   -4 |   -5 |    2
14B  |    1 |   -5 |    0
14C  |   -7 |   -3 |    2
14D  |    0 |   -3 |   -1
14E  |   -1 |   -6 |    0
14F  |   -6 |    4 |   -1
150  |    0 |    2 |   -2
151  |   -7 |    5 |   -1
152  |    3 |   -2 |   -2
153  |    4 |   -3 |   -2
154  |    1 |   -2 |   -1
155  |    1 |   -7 |    0
156  |   -6 |   -3 |    2
157  |   -1 |    1 |    2
158  |    7 |    4 |   -2
159  |    6 |    2 |   -2
15A  |    2 |    6 |    0
15B  |   -5 |   -6 |    1
15C  |   -1 |   -7 |   -1
15D  |    4 |    6 |   -2
15E  |    2 |    2 |    2
15F  |    1 |    5 |    0
160  |   -4 |    3 |   -1
161  |    4 |    1 |    0
162  |   -7 |    2 |   -1
163  |   -6 |    1 |   -1
164  |   -7 |    7 |   -2
165  |    6 |    1 |    0
166  |    4 |   -2 |    0
167  |   -3 |    7 |    2
168  |   -3 |    0 |    2
169  |    3 |    6 |   -2
16A  |   -1 |    3 |   -2
16B  |    1 |    7 |    1
16C  |    1 |    5 |    2
16D  |   -5 |   -7 |   -1
16E  |   -5 |    2 |    0
16F  |   -5 |   -4 |   -2
170  |   -4 |   -7 |    0
171  |    0 |    0 |    0
172  |   -2 |   -7 |    1
173  |    0 |   -5 |    2
174  |   -7 |    5 |   -2
175  |    0 |   -4 |    0
176  |   -4 |    7 |   -2
177  |    3 |    7 |   -1
178  |   -7 |    7 |    1
179  |    0 |    0 |   -1
17A  |   -4 |   -2 |   -2
17B  |   -2 |    6 |   -2
17C  |    0 |    2 |    2
17D  |   -4 |    4 |    0
17E  |    6 |   -1 |    0
17F  |   -5 |    6 |   -1
180  |    6 |    0 |    1
181  |    1 |   -6 |    0
182  |   -5 |    5 |    2
183  |    1 |    2 |   -1
184  |    5 |    6 |   -1
185  |   -6 |    3 |    2
186  |    6 |    0 |    1
187  |   -6 |   -5 |    2
188  |   -6 |   -1 |    1
189  |   -2 |   -5 |    2
18A  |   -5 |    7 |    2
18B  |    5 |   -1 |   -2
18C  |    1 |    6 |   -1
18D  |   -4 |    3 |    2
18E  |   -7 |    7 |    2
18F  |   -4 |    4 |    0
190  |   -7 |    5 |   -1
191  |    6 |   -6 |    0
192  |   -3 |    2 |   -1
193  |   -4 |   -2 |    0
194  |    0 |   -5 |    2
195  |    0 |   -5 |    2
196  |   -1 |    7 |   -2
197  |   -5 |    1 |    0
198  |   -7 |   -1 |    1
199  |   -7 |   -3 |   -2
19A  |    4 |    4 |    0
19B  |    3 |    2 |    0
19C  |   -5 |   -1 |   -2
19D  |   -2 |    1 |    2
19E  |   -1 |   -7 |    0
19F  |   -2 |   -1 |    2
1A0  |    6 |   -2 |   -2
1A1  |    6 |    2 |    2
1A2  |   -2 |    6 |   -1
1A3  |   -2 |    4 |    1
1A4  |    5 |    1 |    0
1A5  |   -5 |   -7 |    1
1A6  |   -2 |    5 |    2
1A7  |    0 |   -4 |    0
1A8  |    3 |    1 |    2
1A9  |    3 |   -4 |   -1
1AA  |   -6 |    2 |   -2
1AB  |   -3 |   -5 |    0
1AC  |    6 |    1 |   -1
1AD  |   -7 |    5 |   -1
1AE  |    4 |   -6 |    0
1AF  |    7 |    7 |    2
1B0  |   -7 |   -4 |   -1
1B1  |   -3 |    7 |    1
1B2  |    4 |   -2 |   -1
1B3  |    5 |   -6 |    2
1B4  |   -5 |    7 |    2
1B5  |   -4 |    0 |    1
1B6  |   -5 |    0 |   -1
1B7  |   -7 |   -7 |    2
1B8  |   -7 |    4 |    0
1B9  |    4 |   -5 |   -2
1BA  |    4 |    2 |   -2
1BB  |    6 |    1 |   -2
1BC  |    5 |   -3 |   -1
1BD  |    6 |   -2 |    1
1BE  |   -3 |   -4 |    2
1BF  |   -2 |    2 |    0
1C0  |   -5 |   -6 |    0
1C1  |    4 |    3 |   -1
1C2  |    1 |    0 |   -2
1C3  |   -3 |    3 |   -1
1C4  |    0 |    5 |    1
1C5  |    5 |   -2 |    1
1C6  |   -7 |   -3 |    2
1C7  |    6 |    1 |    2
1C8  |   -3 |   -7 |    1
1C9  |    7 |   -3 |    1
1CA  |   -5 |   -2 |    1
1CB  |    4 |   -3 |   -1
1CC  |   -7 |   -2 |    1
1CD  |   -4 |   -2 |    0
1CE  |    7 |   -1 |   -2
1CF  |    5 |   -4 |    1
1D0  |   -3 |    6 |   -2
1D1  |   -1 |    3 |   -1
1D2  |   -7 |    6 |   -2
1D3  |   -5 |    6 |   -1
1D4  |   -6 |    6 |    0
1D5  |    1 |    7 |   -1
1D6  |    2 |    0 |   -1
1D7  |    7 |   -1 |    2
1D8  |   -2 |    1 |    1
1D9  |    2 |   -1 |    1
1DA  |   -5 |   -5 |    0
1DB  |    0 |   -5 |    0
1DC  |    6 |    7 |    1
1DD  |    0 |    0 |    2
1DE  |   -6 |   -3 |    1
1DF  |    7 |   -4 |    2
1E0  |   -2 |    0 |    0
1E1  |   -1 |    7 |   -2
1E2  |   -6 |   -2 |    0
1E3  |    7 |   -6 |    0
1E4  |    3 |   -4 |   -1
1E5  |    2 |    4 |   -1
1E6  |   -6 |    3 |   -1
1E7  |    2 |   -4 |   -1
1E8  |   -7 |    7 |    2
1E9  |    0 |   -2 |    1
1EA  |   -7 |   -2 |   -2
1EB  |    1 |   -7 |    0
1EC  |    3 |    6 |    2
1ED  |   -2 |    0 |   -2
1EE  |   -1 |   -2 |    2
1EF  |    5 |   -5 |    2
1F0  |    2 |    6 |    0
1F1  |   -1 |    1 |    1
1F2  |    2 |   -6 |   -1
1F3  |   -5 |    7 |    1
1F4  |   -6 |    3 |    0
1F5  |    1 |    0 |    0
1F6  |    0 |    2 |    0
1F7  |    5 |   -5 |   -2
1F8  |    4 |    5 |    1
1F9  |    2 |    4 |    1
1FA  |   -1 |   -3 |    2
1FB  |    1 |   -2 |    2
1FC  |   -4 |    2 |    2
1FD  |    5 |   -2 |    0
1FE  |   -4 |   -4 |    1
1FF  |   -7 |   -5 |    0
200  |    0 |   -4 |   -2
201  |    6 |   -7 |    2
202  |    6 |   -4 |    0
203  |    4 |   -7 |    0
204  |   -5 |    4 |   -2
205  |   -1 |    7 |   -1
206  |    7 |   -7 |    1
207  |    4 |    2 |   -1
208  |   -6 |    6 |    2
209  |   -6 |   -2 |    0
20A  |   -1 |   -3 |   -2
20B  |    7 |    6 |   -2
20C  |   -2 |    3 |    1
20D  |   -5 |    7 |   -1
20E  |    1 |   -4 |    1
20F  |    2 |    5 |    0
210  |    7 |    3 |    1
211  |    6 |   -5 |   -2
212  |    5 |   -7 |   -2
213  |   -2 |   -2 |    2
214  |    2 |   -6 |    2
215  |    2 |    0 |    0
216  |   -2 |    2 |   -1
217  |   -7 |   -3 |    1
218  |   -4 |   -1 |    0
219  |    2 |    2 |    2
21A  |   -2 |    4 |    1
21B  |    7 |   -6 |    2
21C  |   -2 |    5 |    1
21D  |    3 |    0 |   -1
21E  |    4 |   -6 |    0
21F  |   -3 |   -4 |    1
220  |   -7 |   -7 |   -2
221  |    0 |    7 |   -2
222  |   -3 |   -3 |    1
223  |    4 |    1 |    1
224  |    4 |   -7 |    1
225  |    4 |    1 |   -2
226  |   -3 |    3 |   -2
227  |   -1 |    7 |    1
228  |   -4 |    0 |    2
229  |   -2 |   -2 |    2
22A  |    5 |   -1 |   -1
22B  |   -4 |   -5 |    0
22C  |    6 |    6 |    2
22D  |    7 |    7 |   -2
22E  |   -5 |   -7 |    2
22F  |   -1 |   -3 |   -1
230  |    0 |    6 |   -1
231  |   -4 |    4 |    0
232  |    5 |    4 |    2
233  |   -6 |   -6 |   -2
234  |    4 |    6 |   -2
235  |    2 |   -3 |    1
236  |    6 |    0 |   -2
237  |   -5 |    3 |    0
238  |   -7 |    1 |    0
239  |    0 |   -6 |   -2
23A  |    7 |    4 |   -2
23B  |   -5 |   -5 |    1
23C  |    4 |   -5 |   -2
23D  |    2 |   -7 |    1
23E  |   -1 |    0 |    1
23F  |    2 |   -2 |   -2
240  |   -3 |    4 |   -1
241  |    2 |    5 |   -1
242  |   -3 |    0 |    1
243  |    6 |    3 |   -2
244  |   -1 |    1 |   -1
245  |    7 |   -3 |   -2
246  |    1 |    6 |   -2
247  |    4 |    4 |   -2
248  |   -3 |    6 |    2
249  |   -7 |   -5 |   -2
24A  |    2 |   -3 |    2
24B  |    2 |   -3 |    1
24C  |   -7 |   -3 |   -1
24D  |    7 |   -5 |   -1
24E  |   -6 |    3 |   -1
24F  |    6 |    6 |   -1
250  |   -2 |    2 |   -1
251  |    1 |    6 |   -1
252  |    0 |   -4 |   -1
253  |    5 |    1 |    1
254  |   -3 |    5 |   -2
255  |   -7 |    2 |    0
256  |    5 |    1 |    2
257  |   -1 |   -6 |    0
258  |    7 |    0 |    0
259  |   -3 |    0 |   -2
25A  |   -2 |   -1 |   -2
25B  |    5 |    0 |   -2
25C  |   -1 |    6 |   -1
25D  |   -5 |   -5 |    1
25E  |    4 |    5 |   -1
25F  |    2 |   -2 |    1
260  |   -5 |   -7 |    1
261  |   -3 |   -1 |    0
262  |   -2 |    7 |    0
263  |    1 |    7 |    1
264  |    5 |   -7 |    1
265  |    6 |    1 |   -1
266  |    4 |   -7 |   -1
267  |   -3 |   -7 |    0
268  |    7 |    7 |   -2
269  |   -7 |   -1 |    1
26A  |    6 |   -6 |   -1
26B  |    6 |    6 |    0
26C  |    6 |   -3 |   -1
26D  |   -4 |    0 |    1
26E  |   -3 |    0 |    1
26F  |    4 |   -5 |    2
270  |    2 |   -1 |   -2
271  |    2 |   -5 |    2
272  |   -3 |   -2 |    0
273  |   -1 |   -2 |   -1
274  |   -4 |   -5 |    0
275  |   -7 |   -1 |    1
276  |    6 |   -5 |    2
277  |    6 |    0 |    2
278  |   -3 |    2 |    2
279  |   -1 |   -4 |    0
27A  |    2 |    7 |    1
27B  |    2 |    7 |   -1
27C  |   -2 |    5 |   -1
27D  |   -3 |   -7 |    0
27E  |   -4 |   -4 |    2
27F  |   -6 |    6 |   -2
280  |   -4 |   -1 |    0
281  |    7 |    3 |    0
282  |    2 |   -4 |    1
283  |    2 |    5 |   -1
284  |   -5 |   -2 |    0
285  |    2 |    1 |    0
286  |   -7 |   -7 |    2
287  |    0 |    5 |    2
288  |   -3 |   -3 |   -2
289  |    5 |    3 |    1
28A  |   -4 |   -1 |   -2
28B  |    0 |   -7 |    2
28C  |   -1 |    6 |   -1
28D  |   -6 |   -4 |    2
28E  |   -7 |   -2 |    1
28F  |    4 |   -6 |    2
290  |    3 |    2 |    1
291  |   -4 |   -3 |    1
292  |    0 |    3 |    1
293  |    4 |    2 |    1
294  |   -6 |   -7 |    1
295  |   -5 |   -2 |   -1
296  |    4 |   -2 |   -2
297  |   -7 |    5 |    0
298  |   -7 |    7 |   -2
299  |    5 |    7 |    1
29A  |   -5 |   -4 |   -1
29B  |    3 |    5 |    2
29C  |   -3 |    0 |   -1
29D  |    4 |   -4 |    1
29E  |   -5 |    0 |   -1
29F  |   -7 |    7 |   -1
2A0  |   -7 |    5 |    1
2A1  |    0 |    0 |   -1
2A2  |    2 |   -3 |    0
2A3  |    3 |    5 |    0
2A4  |    4 |    7 |   -1
2A5  |    5 |   -4 |    2
2A6  |    5 |    4 |    1
2A7  |    4 |    5 |    0
2A8  |    7 |   -6 |    2
2A9  |    6 |    3 |   -1
2AA  |   -6 |    7 |    2
2AB  |    5 |   -5 |   -2
2AC  |   -5 |   -5 |    0
2AD  |   -6 |   -4 |   -1
2AE  |   -5 |   -4 |    1
2AF  |   -1 |    2 |   -1
2B0  |   -7 |    3 |    1
2B1  |    2 |    3 |   -1
2B2  |    0 |   -3 |    2
2B3  |    5 |   -4 |    2
2B4  |    2 |    3 |    2
2B5  |    2 |    6 |   -2
2B6  |    2 |    2 |    1
2B7  |    6 |    0 |    2
2B8  |   -6 |   -2 |   -2
2B9  |   -5 |   -2 |    1
2BA  |    1 |    0 |   -1
2BB  |   -1 |   -1 |   -2
2BC  |   -4 |    7 |    0
2BD  |    2 |    2 |   -2
2BE  |   -3 |    6 |   -2
2BF  |   -6 |    3 |    1
2C0  |    5 |    4 |   -1
2C1  |    3 |    2 |    0
2C2  |    5 |    5 |    2
2C3  |    0 |    0 |    2
2C4  |   -4 |    6 |   -2
2C5  |    1 |   -6 |    1
2C6  |   -3 |    1 |    1
2C7  |    5 |   -7 |    2
2C8  |    1 |    7 |    0
2C9  |   -4 |    0 |   -1
2CA  |    2 |    4 |    0
2CB  |   -3 |    3 |   -1
2CC  |    1 |    4 |    2
2CD  |    0 |    4 |   -1
2CE  |   -5 |   -4 |    1
2CF  |   -7 |   -4 |   -2
2D0  |   -5 |   -3 |   -2
2D1  |   -4 |    0 |    2
2D2  |   -6 |   -3 |    1
2D3  |   -7 |    0 |    0
2D4  |   -1 |    7 |    1
2D5  |    0 |    2 |   -2
2D6  |   -1 |   -7 |   -2
2D7  |    6 |    4 |    1
2D8  |   -3 |    7 |    1
2D9  |    4 |    2 |   -2
2DA  |   -7 |    1 |    0
2DB  |   -1 |   -2 |    2
2DC  |    5 |   -5 |    2
2DD  |   -1 |    5 |    1
2DE  |    1 |    6 |    2
2DF  |   -5 |    0 |   -2
2E0  |    1 |    1 |   -2
2E1  |    6 |   -2 |    1
2E2  |   -7 |    3 |    1
2E3  |   -7 |   -1 |    1
2E4  |    6 |   -7 |    0
2E5  |   -4 |    6 |    2
2E6  |    1 |   -3 |    1
2E7  |   -2 |   -3 |   -1
2E8  |    5 |    2 |   -1
2E9  |    3 |    6 |   -2
2EA  |   -5 |   -4 |    2
2EB  |   -7 |   -2 |    1
2EC  |   -4 |   -1 |   -1
2ED  |    4 |    1 |    2
2EE  |    5 |   -7 |   -2
2EF  |    1 |    7 |    0
2F0  |   -5 |   -2 |    2
2F1  |    4 |   -1 |    2
2F2  |    1 |   -5 |    0
2F3  |   -1 |    0 |    2
2F4  |    4 |    7 |   -2
2F5  |    6 |   -3 |   -2
2F6  |    7 |    7 |    0
2F7  |   -4 |    1 |    1
2F8  |   -5 |   -3 |   -1
2F9  |    2 |    1 |    1
2FA  |    7 |    2 |    2
2FB  |   -3 |   -4 |   -1
2FC  |   -3 |    1 |    0
2FD  |   -5 |   -3 |    0
2FE  |    4 |    2 |   -1
2FF  |    1 |    1 |   -2
300  |   -4 |   -5 |   -1
301  |    3 |    7 |    2
302  |   -3 |   -4 |   -2
303  |   -4 |    1 |    0
304  |   -3 |    2 |   -1
305  |   -1 |    3 |    1
306  |    1 |   -2 |    1
307  |   -1 |   -6 |    2
308  |    5 |   -1 |    1
309  |   -3 |   -6 |   -1
30A  |    2 |    3 |   -1
30B  |    2 |   -6 |    1
