ROW | EXT_1 | EXT_2 | EXT_3 | EXT_4
035 |     4 |     0 |   -18 |     5
036 |    15 |     0 |   -21 |     7
037 |     6 |   -26 |     1 |    31
038 |     0 |    11 |     1 |     5
039 |   -17 |     0 |   -29 |   -10
03A |     4 |    -7 |    25 |   -12
03B |     2 |     2 |   -16 |    27
03C |    -6 |     4 |    10 |    21
03D |   -19 |    31 |    21 |     0
03E |     7 |    27 |    29 |   -19
03F |     1 |    16 |    20 |   -15
040 |    31 |    -1 |    27 |    11
041 |     5 |    16 |    31 |   -15
042 |     1 |     7 |    10 |   -13
043 |   -16 |    -3 |    14 |     4
044 |   -32 |    29 |    -1 |   -32
045 |     1 |    10 |    10 |     0
046 |   -12 |    25 |    14 |   -15
047 |    14 |     7 |    31 |    -4
048 |     5 |    29 |    27 |   -30
049 |   -12 |     7 |    21 |   -11
04A |    14 |    -5 |    18 |     0
04B |    -8 |    31 |    31 |     6
04C |     0 |     0 |     0 |   -21
04D |     9 |     0 |    -6 |   -23
04E |    -2 |     2 |   -11 |   -32
04F |     0 |     4 |     0 |   -12
050 |     6 |    13 |    13 |   -32
051 |     0 |     2 |    -4 |   -12
052 |    11 |     6 |   -30 |   -12
053 |     2 |    -2 |    17 |   -12
054 |    31 |     6 |   -26 |    14
055 |     9 |    24 |     9 |   -32
056 |     4 |    -9 |    22 |    -3
057 |    22 |    -9 |     7 |    -6
058 |     2 |    -4 |    -6 |   -18
059 |    30 |   -26 |    11 |    12
05A |   -11 |     6 |    -6 |   -27
05B |     4 |    -9 |    -6 |     0
05C |     4 |     0 |    13 |    -4
05D |   -17 |    20 |   -17 |    31
05E |   -17 |    -7 |    13 |    -7
05F |   -24 |   -15 |   -13 |    26
060 |   -13 |   -15 |   -15 |     9
061 |     0 |   -19 |    19 |   -13
062 |     6 |     2 |    30 |    -2
063 |   -13 |    -2 |   -19 |    31
064 |     7 |     0 |    -6 |     7
065 |   -26 |    -7 |   -17 |     2
066 |   -22 |     9 |     4 |   -13
067 |   -20 |   -17 |    13 |    13
068 |     0 |     4 |    31 |     2
069 |   -11 |     9 |   -11 |     6
06A |   -32 |    30 |   -27 |    22
06B |    19 |   -11 |     7 |   -11
06C |    26 |    13 |    14 |    26
06D |    28 |   -15 |    29 |    13
06E |    13 |    31 |    31 |    22
06F |     9 |    26 |    31 |    13
070 |    30 |    31 |    31 |    26
071 |    19 |    31 |    31 |     6
072 |    15 |    31 |    14 |    31
073 |    13 |    17 |     8 |    24
074 |     4 |    31 |    10 |    26
075 |    20 |    19 |    10 |    13
076 |    30 |    28 |     3 |    26
077 |    31 |    30 |    20 |    15
078 |    11 |    26 |    14 |    15
079 |    13 |   -15 |    -1 |     1
07A |    31 |   -32 |    -6 |     5
07B |    26 |   -26 |     3 |    14
07C |    22 |   -17 |     5 |    18
07D |    13 |   -30 |    25 |    10
07E |    31 |   -17 |    23 |     1
07F |    31 |     0 |   -31 |    18
080 |    30 |   -19 |     5 |     3
081 |    31 |   -32 |     5 |     1
082 |   -17 |     2 |   -32 |    -1
083 |    13 |    -7 |     8 |    31
084 |    26 |    11 |    21 |    31
085 |    31 |     4 |    27 |    12
086 |     0 |     4 |   -19 |   -19
087 |    31 |     9 |    -5 |    14
088 |   -28 |    -7 |    13 |     0
089 |    11 |    -9 |    11 |    -4
08A |    24 |    -6 |   -13 |     2
08B |    30 |     0 |   -15 |     0
08C |    20 |     4 |     7 |    -6
08D |     6 |    -9 |   -17 |    13
08E |     2 |    -6 |   -13 |    13
08F |    20 |    -2 |     0 |    13
090 |    11 |     0 |     0 |     6
091 |    28 |    -2 |    -6 |    -4
092 |     4 |    -2 |     4 |    15
093 |    15 |   -13 |    -2 |    13
094 |    13 |    -4 |    -6 |    -2
095 |    31 |    -4 |     7 |    -6
096 |     0 |   -32 |     2 |    13
097 |    20 |    31 |    19 |   -32
098 |   -32 |   -32 |    26 |   -28
099 |   -10 |     5 |    31 |   -32
09A |    31 |    -1 |    -6 |   -11
09B |    10 |     1 |     7 |   -28
09C |    -3 |    21 |    24 |   -26
09D |    21 |   -16 |     2 |   -20
09E |     5 |    12 |    -4 |   -32
09F |    31 |   -23 |     0 |   -32
0A0 |    21 |   -14 |    -7 |   -32
0A1 |    23 |   -18 |    17 |   -32
0A2 |     8 |   -10 |     6 |   -15
0A3 |     5 |    -8 |    -6 |   -30
0A4 |    20 |    16 |    17 |   -26
0A5 |    14 |     7 |    20 |   -20
0A6 |   -19 |   -28 |    -2 |     9
0A7 |   -23 |   -17 |    -9 |     9
0A8 |     5 |   -28 |    26 |    17
0A9 |   -12 |   -17 |    19 |    13
0AA |    -5 |     4 |    24 |    24
0AB |   -32 |   -22 |    11 |     6
0AC |   -25 |    -9 |    -9 |   -19
0AD |   -14 |   -32 |    -2 |     7
0AE |   -12 |   -26 |     9 |    31
0AF |    -5 |    13 |     0 |    31
0B0 |     3 |   -26 |    24 |     2
0B1 |    31 |   -13 |   -26 |   -11
0B2 |    20 |   -28 |   -26 |    22
0B3 |   -25 |   -32 |     0 |   -15
0B4 |   -18 |    -7 |    31 |    26
0B5 |   -12 |    22 |    -1 |     0
0B6 |     1 |    -9 |    -5 |     9
0B7 |    -5 |   -32 |    10 |    20
0B8 |     7 |     0 |   -32 |   -13
0B9 |     1 |     6 |    14 |    11
0BA |    -6 |    17 |    -3 |     2
0BB |   -21 |     2 |     1 |     7
0BC |   -18 |    -9 |    27 |    31
0BD |   -27 |    22 |    21 |   -15
0BE |    20 |    20 |     3 |    -7
0BF |   -19 |   -20 |    -5 |     0
0C0 |    -3 |    22 |    -1 |     4
0C1 |    -8 |    19 |     1 |     4
0C2 |   -12 |   -32 |     5 |    20
0C3 |   -27 |   -15 |    14 |    11
0C4 |     5 |    13 |     0 |     1
0C5 |    12 |   -22 |     4 |    27
0C6 |    31 |    31 |     4 |    10
0C7 |    31 |    26 |   -15 |    18
0C8 |    25 |    22 |    13 |    12
0C9 |     8 |     2 |    17 |    14
0CA |    31 |   -11 |    24 |    14
0CB |    27 |     0 |     0 |   -12
0CC |     5 |    20 |     7 |     8
0CD |    -6 |    -2 |    19 |    16
0CE |    20 |     9 |    31 |    27
0CF |     7 |     0 |   -26 |    16
0D0 |    18 |    20 |    -7 |    20
0D1 |    18 |    19 |    -7 |    23
0D2 |     7 |    22 |    13 |    21
0D3 |    -7 |     2 |    -5 |    19
0D4 |   -24 |    -6 |   -32 |    -9
0D5 |    -6 |     2 |   -16 |     0
0D6 |     9 |     2 |    10 |    24
0D7 |    -2 |    -7 |    -8 |     6
0D8 |   -15 |    -2 |    -5 |     9
0D9 |   -13 |   -15 |   -12 |     2
0DA |   -11 |   -15 |    -3 |     0
0DB |     6 |     6 |   -10 |    -2
0DC |    15 |     7 |    14 |    20
0DD |    -2 |     4 |   -19 |    20
0DE |   -17 |    -4 |   -12 |     4
0DF |    13 |   -30 |    18 |    17
0E0 |    13 |    -6 |   -18 |    13
0E1 |   -15 |     9 |    -5 |    13
0E2 |   -10 |     9 |     4 |    17
0E3 |     1 |   -30 |     7 |    11
0E4 |   -14 |    17 |    -6 |    26
0E5 |   -12 |   -17 |    22 |     6
0E6 |     8 |   -15 |    15 |     9
0E7 |     8 |    31 |    13 |    26
0E8 |     8 |    26 |     2 |    31
0E9 |    23 |   -17 |    20 |     9
0EA |    -8 |    13 |    -4 |    -7
0EB |    -5 |    -7 |     4 |    30
0EC |     1 |   -15 |    -6 |   -26
0ED |     1 |   -13 |     7 |     0
0EE |     7 |     9 |    15 |    11
0EF |    21 |    -2 |    13 |    -4
0F0 |    31 |     4 |   -11 |    15
0F1 |   -12 |    13 |    -1 |   -10
0F2 |   -32 |    -6 |    -1 |     1
0F3 |   -32 |    17 |     5 |    -8
0F4 |   -31 |    15 |   -14 |    -8
0F5 |   -23 |    31 |    -1 |   -14
0F6 |   -21 |    31 |    -5 |   -18
0F7 |   -32 |     9 |    31 |   -32
0F8 |   -16 |     7 |    -8 |   -21
0F9 |   -32 |    26 |    -5 |     1
0FA |     1 |     6 |    23 |     3
0FB |   -32 |    15 |    -8 |     3
0FC |     3 |    -9 |   -14 |   -12
0FD |   -32 |     6 |    14 |    -1
0FE |   -19 |     2 |     1 |     1
0FF |   -10 |    11 |   -21 |    -1
100 |    29 |    31 |    15 |    -1
101 |    18 |    30 |     6 |   -25
102 |   -32 |    20 |   -32 |     5
103 |     5 |     7 |   -11 |   -12
104 |   -18 |     9 |   -28 |   -10
105 |   -16 |     6 |   -11 |   -12
106 |     1 |    31 |   -11 |    -5
107 |    -6 |    19 |    11 |    12
108 |    14 |    15 |   -30 |    20
109 |   -31 |    11 |    -4 |    -1
10A |    27 |   -30 |     0 |   -32
10B |   -10 |    24 |   -26 |    -3
10C |    -6 |    20 |    -4 |    -1
10D |     8 |    13 |   -20 |    -6
10E |    -6 |     6 |    -7 |    -8
10F |    12 |   -25 |    -6 |     8
110 |   -12 |   -32 |    -7 |    -6
111 |    -3 |     1 |    -4 |   -25
112 |   -12 |   -10 |    -7 |     8
113 |     7 |    -6 |     7 |    14
114 |    16 |   -25 |    24 |     3
115 |   -10 |   -27 |    13 |    21
116 |   -25 |   -25 |   -15 |    -5
117 |     8 |   -23 |   -13 |     5
118 |   -27 |   -19 |    31 |    27
119 |    14 |    -6 |   -19 |     1
11A |     3 |    23 |   -17 |   -21
11B |   -32 |    -6 |     0 |     1
11C |    14 |   -32 |    11 |    21
11D |    14 |   -25 |    11 |     8
11E |    -1 |    17 |     1 |     7
11F |   -23 |    26 |     5 |    19
120 |    -1 |    -4 |    14 |    -2
121 |     3 |    19 |    23 |    -6
122 |   -27 |    20 |   -10 |    31
123 |     3 |    -7 |    -5 |   -15
124 |     1 |     6 |   -12 |     0
125 |    10 |     4 |    16 |     4
126 |    16 |     4 |   -32 |     0
127 |    -1 |   -15 |    27 |    -6
128 |   -25 |     2 |    -8 |    13
129 |     1 |   -13 |    -8 |    -7
12A |    -6 |     7 |   -12 |     7
12B |    31 |     6 |   -25 |    13
12C |     1 |     7 |    -3 |    -2
12D |     3 |   -12 |    10 |    18
12E |     5 |    23 |    21 |    27
12F |    -8 |     7 |   -12 |   -12
130 |    10 |    31 |    18 |     7
131 |    27 |   -23 |    20 |    25
132 |    27 |     1 |     1 |     5
133 |     5 |   -19 |     1 |     7
134 |    31 |   -27 |    -5 |   -32
135 |    16 |    31 |     7 |    27
136 |     1 |     3 |    27 |    31
137 |    10 |   -12 |     1 |     8
138 |    25 |    -1 |    27 |     5
139 |    31 |    16 |   -10 |     1
13A |    10 |    16 |    -8 |     1
13B |    27 |    -6 |    31 |    31
13C |     8 |     1 |     6 |   -32
13D |   -18 |    31 |    15 |    19
13E |   -25 |    31 |     4 |    22
13F |     3 |    31 |   -11 |    26
140 |   -12 |    20 |    -9 |    15
141 |     3 |    14 |     0 |     6
142 |   -32 |    14 |   -32 |    -2
143 |    20 |    10 |     4 |    -4
144 |    31 |    10 |    19 |   -13
145 |   -14 |    25 |   -13 |     0
146 |    -3 |    27 |   -15 |    -4
147 |    -3 |    16 |   -30 |   -11
148 |   -10 |    23 |    -7 |     0
149 |    12 |    31 |    11 |   -13
14A |   -32 |    31 |   -26 |   -20
14B |    -4 |    -9 |   -13 |     0
14C |    -7 |    13 |   -32 |   -13
14D |    -7 |    13 |   -26 |   -22
14E |     2 |     2 |   -15 |     7
14F |    26 |    17 |    -6 |    -7
150 |    31 |     0 |     9 |    15
151 |    -7 |    -4 |   -13 |     0
152 |    -6 |    13 |   -26 |    -7
153 |    31 |    -2 |   -20 |     6
154 |    -6 |    19 |     6 |   -15
155 |     9 |    13 |   -11 |    11
156 |   -11 |     0 |   -11 |    -2
157 |    -2 |   -13 |     2 |    -4
158 |    28 |     2 |     0 |   -22
159 |     4 |    28 |    -9 |    -4
15A |    -4 |    22 |   -14 |   -14
15B |    13 |     0 |    31 |    10
15C |   -32 |     0 |    31 |     5
15D |   -15 |   -13 |   -12 |   -27
15E |    -9 |     2 |   -12 |    31
15F |    -6 |    20 |   -14 |    14
160 |     0 |    31 |    10 |   -19
161 |   -22 |    -7 |     1 |    -3
162 |    -4 |    17 |    -3 |    25
163 |    -4 |    -6 |     1 |    -1
164 |   -24 |   -11 |    31 |   -16
165 |    13 |     6 |    31 |   -16
166 |     9 |     4 |    27 |    12
167 |     9 |     4 |   -14 |     1
168 |    -6 |   -32 |     3 |   -18
169 |    -6 |    -5 |    -1 |     2
16A |   -24 |    29 |     5 |   -15
16B |   -32 |    -3 |   -32 |    13
16C |     7 |    12 |   -32 |    19
16D |     2 |    -3 |    -3 |   -11
16E |    26 |   -23 |   -16 |   -17
16F |    -9 |    -1 |     8 |    13
170 |    17 |    -1 |    -6 |    17
171 |    28 |    10 |    31 |    -4
172 |   -13 |     3 |   -32 |     0
173 |   -32 |   -14 |   -21 |     7
174 |    -4 |    -6 |   -14 |     0
175 |    31 |    20 |    -3 |     2
176 |    26 |    31 |    31 |    -7
177 |   -26 |    -3 |    29 |     0
178 |     4 |   -11 |    12 |   -27
179 |    26 |    15 |     8 |    18
17A |    -4 |    19 |    -5 |    20
17B |    11 |    13 |     3 |    23
17C |    11 |    31 |     7 |    31
17D |    22 |    31 |     5 |   -19
17E |     0 |   -22 |     3 |    18
17F |     9 |    30 |     3 |    20
180 |    30 |     0 |    -6 |   -25
181 |    11 |    -2 |    -1 |    31
182 |    17 |    31 |    -5 |   -16
183 |    -2 |    31 |     1 |     1
184 |     6 |    -4 |   -12 |   -32
185 |    17 |    26 |    21 |    14
186 |     6 |    31 |     7 |   -31
187 |    -6 |    -2 |     2 |     1
188 |   -32 |    17 |    -7 |    18
189 |     6 |     7 |    19 |     7
18A |    -2 |    17 |    -6 |    23
18B |    30 |    31 |    -7 |    31
18C |   -15 |    -7 |   -28 |     5
18D |     4 |   -19 |    17 |    23
18E |   -13 |    19 |     9 |    21
18F |   -32 |    -6 |     9 |     1
190 |   -11 |    31 |    -7 |    31
191 |   -11 |     0 |    -6 |     7
192 |   -20 |    26 |   -28 |    -3
193 |   -19 |    17 |    13 |     1
194 |     4 |    15 |     4 |    23
195 |   -11 |    22 |   -24 |    18
196 |    -9 |    -9 |     7 |    -6
197 |   -19 |    -6 |   -19 |    24
198 |   -17 |    20 |     9 |    28
199 |   -24 |   -13 |   -20 |    30
19A |    -9 |    -2 |     4 |     4
19B |     0 |     0 |    -6 |    22
19C |    -9 |     4 |    -9 |     9
19D |    15 |     0 |     6 |    13
19E |    13 |    -4 |    31 |     4
19F |    31 |     0 |    31 |     7
1A0 |   -13 |    -7 |     2 |    31
1A1 |     9 |     7 |   -13 |   -13
1A2 |    19 |     7 |   -32 |    15
1A3 |   -32 |     4 |     6 |     6
1A4 |     9 |   -19 |     0 |    19
1A5 |    -9 |     5 |     1 |     9
1A6 |   -11 |     1 |    -1 |    -4
1A7 |   -17 |    27 |     3 |    19
1A8 |    -4 |    21 |    16 |     2
1A9 |   -28 |    31 |    -5 |   -32
1AA |     0 |    14 |    31 |    11
1AB |    -4 |    27 |    31 |    13
1AC |   -15 |    -8 |    14 |    22
1AD |   -13 |    31 |     8 |    19
1AE |    17 |    27 |    -6 |     2
1AF |     4 |    -5 |     1 |    20
1B0 |   -11 |    -3 |    23 |     0
1B1 |    -7 |    -5 |    31 |    -9
1B2 |   -11 |    -8 |    10 |    -7
1B3 |   -13 |    31 |    20 |    26
1B4 |    -6 |    -4 |    -7 |    14
1B5 |   -32 |   -15 |    20 |     5
1B6 |    -9 |   -32 |    26 |    31
1B7 |    13 |     6 |   -20 |    31
1B8 |    11 |    -4 |   -13 |    31
1B9 |    26 |   -17 |   -32 |    -5
1BA |    -9 |    11 |    -9 |    -6
1BB |    17 |     4 |    -6 |   -23
1BC |   -13 |    22 |    -9 |    20
1BD |     0 |    19 |   -13 |    21
1BE |    13 |    15 |   -13 |    31
1BF |    20 |    -4 |    -4 |    -8
1C0 |    31 |    20 |    11 |     5
1C1 |     6 |    -6 |   -13 |     5
1C2 |    13 |    -2 |    -2 |    21
1C3 |     7 |    -6 |     0 |    21
1C4 |    13 |     6 |    -4 |    -8
1C5 |     7 |     2 |   -13 |     3
1C6 |   -11 |     0 |    -6 |    -5
1C7 |    -2 |    13 |    -7 |     3
1C8 |   -15 |   -15 |   -20 |     1
1C9 |    15 |    -9 |    -7 |     3
1CA |     7 |    11 |   -13 |     3
1CB |   -17 |     6 |   -28 |     5
1CC |    13 |     7 |     6 |    -6
1CD |    -7 |    19 |    15 |    -3
1CE |    -9 |     7 |     7 |    27
1CF |   -24 |    -9 |   -13 |    23
1D0 |    13 |   -13 |    11 |    -3
1D1 |     9 |     4 |    24 |    31
1D2 |     9 |   -11 |    26 |    -9
1D3 |    -6 |    26 |     4 |   -26
1D4 |     0 |   -13 |    -2 |   -32
1D5 |     7 |    26 |     6 |   -13
1D6 |     2 |    15 |    20 |    -9
1D7 |   -20 |    31 |    13 |    -2
1D8 |     7 |    -6 |    19 |     7
1D9 |   -30 |    17 |    15 |    31
1DA |   -22 |    17 |    26 |     7
1DB |   -17 |    15 |    31 |     6
1DC |     7 |    17 |    19 |   -11
1DD |    -2 |     6 |    26 |    13
1DE |   -24 |    31 |    -7 |   -20
1DF |    15 |    31 |     0 |     7
1E0 |     2 |    31 |    13 |    19
1E1 |   -13 |    10 |    14 |     7
1E2 |    11 |    31 |     8 |    13
1E3 |     2 |    31 |   -23 |    -7
1E4 |    24 |    23 |   -32 |     4
1E5 |    13 |    31 |     8 |     2
1E6 |    -4 |    31 |     3 |    13
1E7 |    15 |    31 |   -25 |    31
1E8 |   -17 |    25 |    14 |     7
1E9 |   -11 |    27 |   -25 |     7
1EA |   -22 |    14 |     1 |    15
1EB |    28 |    16 |    25 |    28
1EC |    20 |    21 |   -27 |   -15
1ED |    20 |    21 |   -18 |   -11
1EE |     4 |    31 |     5 |    -6
1EF |     7 |    31 |   -16 |   -24
1F0 |     5 |    -3 |     5 |   -13
1F1 |     1 |    31 |    14 |   -13
1F2 |   -14 |     7 |    16 |    17
1F3 |    -5 |    12 |   -10 |    -4
1F4 |    -1 |    25 |    16 |     6
1F5 |   -21 |    16 |    -6 |    26
1F6 |     1 |    27 |     8 |     0
1F7 |    -6 |    29 |     7 |    26
1F8 |    -3 |    10 |    -8 |    13
1F9 |     8 |    14 |    -8 |     0
1FA |     8 |    12 |    -5 |     0
1FB |   -12 |    23 |    21 |     6
1FC |     8 |    31 |   -10 |     7
1FD |   -14 |    21 |   -12 |    11
1FE |   -12 |    23 |    14 |    20
1FF |   -20 |   -17 |   -31 |     2
200 |    31 |    20 |   -12 |    31
201 |    11 |    22 |     1 |    19
202 |    31 |    26 |    31 |    31
203 |    -7 |    -2 |    21 |    15
204 |    31 |    -4 |    31 |    11
205 |    31 |   -26 |     8 |   -11
206 |    19 |    19 |    31 |     4
207 |    31 |     0 |    31 |    -9
208 |    31 |     9 |    31 |    13
209 |    31 |    19 |     8 |     6
20A |     2 |    20 |    31 |    19
20B |    17 |     6 |     3 |     0
20C |    31 |     0 |     5 |     7
20D |     2 |     6 |    25 |    11
20E |    -6 |    14 |    26 |    -5
20F |   -32 |    -6 |   -30 |   -27
210 |     3 |    25 |   -26 |    -3
211 |    -5 |    31 |   -15 |    20
212 |   -23 |    21 |     6 |     8
213 |   -18 |    21 |   -26 |    29
214 |     1 |    -1 |    13 |   -18
215 |   -19 |    20 |    -2 |    31
216 |   -10 |    31 |    24 |   -12
217 |     8 |    31 |     7 |    14
218 |    10 |    14 |   -26 |    10
219 |   -10 |     1 |    28 |    21
21A |     3 |    21 |   -28 |    16
21B |    -8 |    31 |   -30 |    25
21C |   -25 |    25 |   -15 |    25
21D |     0 |    11 |    15 |   -10
21E |   -15 |   -19 |     0 |    27
21F |    -9 |    31 |     7 |   -32
220 |   -24 |     6 |    11 |    -1
221 |   -32 |    -6 |     9 |     1
222 |    31 |    -2 |    -7 |    31
223 |     2 |    -7 |    -9 |    23
224 |     2 |    19 |    19 |     1
225 |   -11 |     9 |     2 |    18
226 |   -17 |   -17 |    -9 |   -25
227 |     0 |    28 |    26 |    27
228 |   -32 |    15 |    31 |   -12
229 |    31 |     7 |    31 |    -5
22A |   -26 |   -26 |     6 |    -3
22B |    -2 |   -26 |     6 |    27
22C |     1 |   -19 |    -7 |   -32
22D |    -3 |    -8 |     9 |   -11
22E |   -10 |    -8 |     6 |    20
22F |    -5 |    18 |     0 |     7
230 |   -19 |    21 |   -11 |     4
231 |    10 |   -27 |     6 |     4
232 |     7 |   -25 |    26 |    11
233 |   -29 |   -12 |    -7 |    22
234 |     7 |    -8 |    11 |     7
235 |   -12 |   -31 |    -6 |    -6
236 |    23 |   -19 |    -9 |    31
237 |    -5 |   -12 |    17 |     0
238 |   -32 |    -5 |    11 |    24
239 |   -25 |    -5 |    19 |    13
23A |   -32 |   -25 |   -26 |    26
23B |     6 |    24 |    31 |   -19
23C |    31 |   -22 |   -15 |    22
23D |    -9 |   -28 |    -2 |     7
23E |    26 |   -22 |    31 |     6
23F |    -4 |    -6 |    26 |    13
240 |     0 |    13 |    26 |     2
241 |   -22 |   -24 |    26 |    31
242 |    24 |   -32 |    17 |    26
243 |    13 |    -6 |    31 |    19
244 |    20 |    -2 |     2 |    31
245 |    13 |    13 |    26 |    -2
246 |     0 |   -32 |     7 |    31
247 |     7 |     4 |     0 |     6
248 |    17 |    22 |     7 |    31
249 |    -4 |     6 |    19 |     6
24A |    -6 |   -10 |    -7 |     7
24B |    -1 |   -32 |    15 |    -4
24C |    -6 |   -27 |     0 |    -2
24D |    16 |   -14 |    20 |    13
24E |   -25 |   -16 |    31 |    31
24F |   -32 |     1 |    31 |    13
250 |   -32 |     7 |    -4 |    31
251 |   -18 |   -12 |    31 |    -7
252 |   -16 |    12 |    13 |    13
253 |    -8 |   -32 |    28 |    31
254 |    -8 |     1 |     7 |    17
255 |   -16 |     1 |    28 |    11
256 |   -10 |    16 |    19 |     4
257 |     8 |   -32 |    11 |    -4
258 |    12 |    -5 |     2 |     9
259 |    -8 |     7 |    -9 |    19
25A |   -18 |   -13 |    31 |   -32
25B |     5 |   -24 |    20 |    19
25C |    -8 |   -32 |    13 |   -26
25D |    10 |   -15 |    31 |   -15
25E |    -1 |   -19 |    19 |   -22
25F |   -32 |     0 |   -22 |     4
260 |   -25 |     9 |    31 |     2
261 |     1 |    20 |    31 |    -7
262 |    -3 |     0 |    15 |    -2
263 |   -23 |     0 |    22 |    -7
264 |   -19 |   -13 |    22 |     2
265 |   -31 |   -13 |    31 |     2
266 |   -21 |     0 |     9 |    -4
267 |    21 |    30 |    31 |   -20
268 |    13 |     1 |     1 |   -21
269 |    17 |     1 |    -1 |    16
26A |   -20 |   -12 |    31 |   -23
26B |    17 |    31 |    12 |   -21
26C |   -19 |     1 |   -32 |   -10
26D |    13 |   -29 |    -8 |   -32
26E |   -15 |   -10 |     3 |   -12
26F |    -9 |   -14 |     7 |   -12
270 |    13 |   -32 |    23 |   -32
271 |   -11 |     7 |     5 |   -32
272 |   -24 |   -19 |   -25 |   -32
273 |    17 |   -10 |   -25 |   -10
274 |    15 |   -14 |   -12 |   -12
275 |    17 |     7 |   -23 |    -3
276 |    13 |   -23 |   -27 |    20
277 |    14 |    15 |   -12 |    -5
278 |   -10 |    15 |    -6 |    -3
279 |   -25 |     9 |    10 |    -6
27A |   -21 |     9 |    16 |    14
27B |   -18 |   -32 |    27 |    31
27C |   -32 |    31 |    14 |   -12
27D |   -23 |    31 |    18 |    12
27E |    -1 |    31 |    -1 |   -32
27F |   -31 |    30 |    31 |   -32
280 |   -19 |     2 |     8 |   -27
281 |   -32 |   -13 |   -21 |    14
282 |    31 |     9 |    29 |    -6
283 |   -25 |     0 |    16 |    14
284 |   -12 |     0 |    20 |   -27
285 |   -27 |    11 |    25 |    -6
286 |    -2 |   -14 |    -8 |    19
287 |   -26 |   -25 |    25 |    -7
288 |   -19 |     5 |    -3 |   -19
289 |   -32 |    14 |   -29 |   -32
28A |   -26 |    31 |    21 |   -32
28B |   -32 |   -10 |     1 |   -15
28C |    -6 |     1 |   -18 |     0
28D |   -17 |    -3 |    21 |   -30
28E |     0 |   -32 |    14 |   -15
28F |     6 |     1 |   -19 |     7
290 |   -32 |     5 |   -18 |    -7
291 |   -11 |   -32 |    16 |   -30
292 |   -28 |    -8 |     7 |   -15
293 |   -32 |    -3 |    31 |   -15
294 |   -11 |     8 |    14 |    15
295 |    15 |    -6 |     1 |   -13
296 |     0 |    26 |   -16 |   -20
297 |    -9 |    -9 |   -18 |   -15
298 |    -7 |    15 |     8 |     0
299 |    -7 |     4 |     1 |     9
29A |    -9 |   -28 |    -3 |   -32
29B |    -4 |    31 |     7 |    22
29C |    -9 |     9 |     1 |   -22
29D |    -6 |    19 |    -1 |     0
29E |    -7 |    13 |    -5 |   -32
29F |    31 |     7 |   -32 |   -11
2A0 |   -11 |   -20 |   -18 |   -32
2A1 |    -9 |    13 |     1 |    -7
2A2 |    17 |    13 |   -32 |   -13
2A3 |   -32 |    -6 |    25 |    -4
2A4 |     1 |    -6 |     3 |    17
2A5 |    10 |   -21 |    21 |    20
2A6 |    14 |     3 |    -8 |    -6
2A7 |     1 |   -31 |   -14 |    20
2A8 |   -14 |   -29 |    18 |    -6
2A9 |   -23 |   -16 |   -12 |    30
2AA |    16 |   -32 |   -19 |     6
2AB |    14 |    -5 |    18 |     7
2AC |    14 |   -32 |   -12 |    31
2AD |    -3 |   -18 |   -23 |    20
2AE |     7 |   -27 |     8 |    24
2AF |   -14 |     3 |     1 |    31
2B0 |   -12 |   -21 |    -3 |    17
2B1 |   -10 |   -25 |    12 |    -4
2B2 |   -16 |   -12 |   -12 |    20
