ADDR | HEX  |       BINARY       | UNSIGNED |   S5 |   S6 |   S7 |  S10 |  S12 |  S16
01A  | 26c  | 0000_0010_0110_1100 |      620 |   12 |  -20 |  -20 | -404 |  620 |  620
01B  | 209  | 0000_0010_0000_1001 |      521 |    9 |    9 |    9 | -503 |  521 |  521
01C  | 3e4  | 0000_0011_1110_0100 |      996 |    4 |  -28 |  -28 |  -28 |  996 |  996
01D  | 31e  | 0000_0011_0001_1110 |      798 |   -2 |   30 |   30 | -226 |  798 |  798
01E  | 0a7  | 0000_0000_1010_0111 |      167 |    7 |  -25 |   39 |  167 |  167 |  167
01F  | 123  | 0000_0001_0010_0011 |      291 |    3 |  -29 |   35 |  291 |  291 |  291
020  | 095  | 0000_0000_1001_0101 |      149 |  -11 |   21 |   21 |  149 |  149 |  149
021  | 195  | 0000_0001_1001_0101 |      405 |  -11 |   21 |   21 |  405 |  405 |  405
022  | 2b6  | 0000_0010_1011_0110 |      694 |  -10 |  -10 |   54 | -330 |  694 |  694
023  | 30e  | 0000_0011_0000_1110 |      782 |   14 |   14 |   14 | -242 |  782 |  782
024  | 08a  | 0000_0000_1000_1010 |      138 |   10 |   10 |   10 |  138 |  138 |  138
025  | 3e5  | 0000_0011_1110_0101 |      997 |    5 |  -27 |  -27 |  -27 |  997 |  997
026  | 28a  | 0000_0010_1000_1010 |      650 |   10 |   10 |   10 | -374 |  650 |  650
027  | 28e  | 0000_0010_1000_1110 |      654 |   14 |   14 |   14 | -370 |  654 |  654
028  | 342  | 0000_0011_0100_0010 |      834 |    2 |    2 |  -62 | -190 |  834 |  834
029  | 311  | 0000_0011_0001_0001 |      785 |  -15 |   17 |   17 | -239 |  785 |  785
02A  | 2fb  | 0000_0010_1111_1011 |      763 |   -5 |   -5 |   -5 | -261 |  763 |  763
02B  | 1ea  | 0000_0001_1110_1010 |      490 |   10 |  -22 |  -22 |  490 |  490 |  490
02C  | 282  | 0000_0010_1000_0010 |      642 |    2 |    2 |    2 | -382 |  642 |  642
02D  | 25c  | 0000_0010_0101_1100 |      604 |   -4 |   28 |  -36 | -420 |  604 |  604
02E  | 140  | 0000_0001_0100_0000 |      320 |    0 |    0 |  -64 |  320 |  320 |  320
02F  | 0c3  | 0000_0000_1100_0011 |      195 |    3 |    3 |  -61 |  195 |  195 |  195
030  | 391  | 0000_0011_1001_0001 |      913 |  -15 |   17 |   17 | -111 |  913 |  913
031  | 3c5  | 0000_0011_1100_0101 |      965 |    5 |    5 |  -59 |  -59 |  965 |  965
032  | 3d8  | 0000_0011_1101_1000 |      984 |   -8 |   24 |  -40 |  -40 |  984 |  984
033  | 121  | 0000_0001_0010_0001 |      289 |    1 |  -31 |   33 |  289 |  289 |  289
034  | 3c3  | 0000_0011_1100_0011 |      963 |    3 |    3 |  -61 |  -61 |  963 |  963
035  | 38a  | 0000_0011_1000_1010 |      906 |   10 |   10 |   10 | -118 |  906 |  906
036  | 1ec  | 0000_0001_1110_1100 |      492 |   12 |  -20 |  -20 |  492 |  492 |  492
037  | 0d4  | 0000_0000_1101_0100 |      212 |  -12 |   20 |  -44 |  212 |  212 |  212
038  | 170  | 0000_0001_0111_0000 |      368 |  -16 |  -16 |  -16 |  368 |  368 |  368
039  | 37f  | 0000_0011_0111_1111 |      895 |   -1 |   -1 |   -1 | -129 |  895 |  895
03A  | 1ad  | 0000_0001_1010_1101 |      429 |   13 |  -19 |   45 |  429 |  429 |  429
03B  | 17f  | 0000_0001_0111_1111 |      383 |   -1 |   -1 |   -1 |  383 |  383 |  383
03C  | 375  | 0000_0011_0111_0101 |      885 |  -11 |  -11 |  -11 | -139 |  885 |  885
03D  | 3fa  | 0000_0011_1111_1010 |     1018 |   -6 |   -6 |   -6 |   -6 | 1018 | 1018
03E  | 332  | 0000_0011_0011_0010 |      818 |  -14 |  -14 |   50 | -206 |  818 |  818
03F  | 3dc  | 0000_0011_1101_1100 |      988 |   -4 |   28 |  -36 |  -36 |  988 |  988
040  | 007  | 0000_0000_0000_0111 |        7 |    7 |    7 |    7 |    7 |    7 |    7
041  | 0b3  | 0000_0000_1011_0011 |      179 |  -13 |  -13 |   51 |  179 |  179 |  179
042  | 100  | 0000_0001_0000_0000 |      256 |    0 |    0 |    0 |  256 |  256 |  256
043  | 294  | 0000_0010_1001_0100 |      660 |  -12 |   20 |   20 | -364 |  660 |  660
044  | 28b  | 0000_0010_1000_1011 |      651 |   11 |   11 |   11 | -373 |  651 |  651
045  | 058  | 0000_0000_0101_1000 |       88 |   -8 |   24 |  -40 |   88 |   88 |   88
046  | 08f  | 0000_0000_1000_1111 |      143 |   15 |   15 |   15 |  143 |  143 |  143
047  | 283  | 0000_0010_1000_0011 |      643 |    3 |    3 |    3 | -381 |  643 |  643
048  | 0a9  | 0000_0000_1010_1001 |      169 |    9 |  -23 |   41 |  169 |  169 |  169
049  | 16f  | 0000_0001_0110_1111 |      367 |   15 |  -17 |  -17 |  367 |  367 |  367
04A  | 2ed  | 0000_0010_1110_1101 |      749 |   13 |  -19 |  -19 | -275 |  749 |  749
04B  | 27a  | 0000_0010_0111_1010 |      634 |   -6 |   -6 |   -6 | -390 |  634 |  634
04C  | 166  | 0000_0001_0110_0110 |      358 |    6 |  -26 |  -26 |  358 |  358 |  358
04D  | 13f  | 0000_0001_0011_1111 |      319 |   -1 |   -1 |   63 |  319 |  319 |  319
04E  | 12f  | 0000_0001_0010_1111 |      303 |   15 |  -17 |   47 |  303 |  303 |  303
04F  | 385  | 0000_0011_1000_0101 |      901 |    5 |    5 |    5 | -123 |  901 |  901
050  | 3f3  | 0000_0011_1111_0011 |     1011 |  -13 |  -13 |  -13 |  -13 | 1011 | 1011
051  | 2f9  | 0000_0010_1111_1001 |      761 |   -7 |   -7 |   -7 | -263 |  761 |  761
052  | 0e8  | 0000_0000_1110_1000 |      232 |    8 |  -24 |  -24 |  232 |  232 |  232
053  | 125  | 0000_0001_0010_0101 |      293 |    5 |  -27 |   37 |  293 |  293 |  293
054  | 151  | 0000_0001_0101_0001 |      337 |  -15 |   17 |  -47 |  337 |  337 |  337
055  | 139  | 0000_0001_0011_1001 |      313 |   -7 |   -7 |   57 |  313 |  313 |  313
056  | 108  | 0000_0001_0000_1000 |      264 |    8 |    8 |    8 |  264 |  264 |  264
057  | 2be  | 0000_0010_1011_1110 |      702 |   -2 |   -2 |   62 | -322 |  702 |  702
058  | 2a0  | 0000_0010_1010_0000 |      672 |    0 |  -32 |   32 | -352 |  672 |  672
059  | 1ba  | 0000_0001_1011_1010 |      442 |   -6 |   -6 |   58 |  442 |  442 |  442
05A  | 06e  | 0000_0000_0110_1110 |      110 |   14 |  -18 |  -18 |  110 |  110 |  110
05B  | 146  | 0000_0001_0100_0110 |      326 |    6 |    6 |  -58 |  326 |  326 |  326
05C  | 3ea  | 0000_0011_1110_1010 |     1002 |   10 |  -22 |  -22 |  -22 | 1002 | 1002
05D  | 2cc  | 0000_0010_1100_1100 |      716 |   12 |   12 |  -52 | -308 |  716 |  716
05E  | 1d7  | 0000_0001_1101_0111 |      471 |   -9 |   23 |  -41 |  471 |  471 |  471
05F  | 023  | 0000_0000_0010_0011 |       35 |    3 |  -29 |   35 |   35 |   35 |   35
060  | 090  | 0000_0000_1001_0000 |      144 |  -16 |   16 |   16 |  144 |  144 |  144
061  | 2e7  | 0000_0010_1110_0111 |      743 |    7 |  -25 |  -25 | -281 |  743 |  743
062  | 11b  | 0000_0001_0001_1011 |      283 |   -5 |   27 |   27 |  283 |  283 |  283
063  | 3e9  | 0000_0011_1110_1001 |     1001 |    9 |  -23 |  -23 |  -23 | 1001 | 1001
064  | 218  | 0000_0010_0001_1000 |      536 |   -8 |   24 |   24 | -488 |  536 |  536
065  | 2be  | 0000_0010_1011_1110 |      702 |   -2 |   -2 |   62 | -322 |  702 |  702
066  | 378  | 0000_0011_0111_1000 |      888 |   -8 |   -8 |   -8 | -136 |  888 |  888
067  | 14a  | 0000_0001_0100_1010 |      330 |   10 |   10 |  -54 |  330 |  330 |  330
068  | 28e  | 0000_0010_1000_1110 |      654 |   14 |   14 |   14 | -370 |  654 |  654
069  | 392  | 0000_0011_1001_0010 |      914 |  -14 |   18 |   18 | -110 |  914 |  914
06A  | 192  | 0000_0001_1001_0010 |      402 |  -14 |   18 |   18 |  402 |  402 |  402
06B  | 363  | 0000_0011_0110_0011 |      867 |    3 |  -29 |  -29 | -157 |  867 |  867
06C  | 0ab  | 0000_0000_1010_1011 |      171 |   11 |  -21 |   43 |  171 |  171 |  171
06D  | 300  | 0000_0011_0000_0000 |      768 |    0 |    0 |    0 | -256 |  768 |  768
06E  | 1d3  | 0000_0001_1101_0011 |      467 |  -13 |   19 |  -45 |  467 |  467 |  467
06F  | 0e2  | 0000_0000_1110_0010 |      226 |    2 |  -30 |  -30 |  226 |  226 |  226
070  | 33d  | 0000_0011_0011_1101 |      829 |   -3 |   -3 |   61 | -195 |  829 |  829
071  | 2b5  | 0000_0010_1011_0101 |      693 |  -11 |  -11 |   53 | -331 |  693 |  693
072  | 1a4  | 0000_0001_1010_0100 |      420 |    4 |  -28 |   36 |  420 |  420 |  420
073  | 187  | 0000_0001_1000_0111 |      391 |    7 |    7 |    7 |  391 |  391 |  391
074  | 1d0  | 0000_0001_1101_0000 |      464 |  -16 |   16 |  -48 |  464 |  464 |  464
075  | 3bd  | 0000_0011_1011_1101 |      957 |   -3 |   -3 |   61 |  -67 |  957 |  957
076  | 1c5  | 0000_0001_1100_0101 |      453 |    5 |    5 |  -59 |  453 |  453 |  453
077  | 083  | 0000_0000_1000_0011 |      131 |    3 |    3 |    3 |  131 |  131 |  131
078  | 159  | 0000_0001_0101_1001 |      345 |   -7 |   25 |  -39 |  345 |  345 |  345
079  | 1de  | 0000_0001_1101_1110 |      478 |   -2 |   30 |  -34 |  478 |  478 |  478
07A  | 271  | 0000_0010_0111_0001 |      625 |  -15 |  -15 |  -15 | -399 |  625 |  625
07B  | 0d2  | 0000_0000_1101_0010 |      210 |  -14 |   18 |  -46 |  210 |  210 |  210
07C  | 0d2  | 0000_0000_1101_0010 |      210 |  -14 |   18 |  -46 |  210 |  210 |  210
07D  | 2eb  | 0000_0010_1110_1011 |      747 |   11 |  -21 |  -21 | -277 |  747 |  747
07E  | 3f4  | 0000_0011_1111_0100 |     1012 |  -12 |  -12 |  -12 |  -12 | 1012 | 1012
07F  | 389  | 0000_0011_1000_1001 |      905 |    9 |    9 |    9 | -119 |  905 |  905
080  | 365  | 0000_0011_0110_0101 |      869 |    5 |  -27 |  -27 | -155 |  869 |  869
081  | 1d7  | 0000_0001_1101_0111 |      471 |   -9 |   23 |  -41 |  471 |  471 |  471
082  | 197  | 0000_0001_1001_0111 |      407 |   -9 |   23 |   23 |  407 |  407 |  407
083  | 05d  | 0000_0000_0101_1101 |       93 |   -3 |   29 |  -35 |   93 |   93 |   93
084  | 32f  | 0000_0011_0010_1111 |      815 |   15 |  -17 |   47 | -209 |  815 |  815
085  | 374  | 0000_0011_0111_0100 |      884 |  -12 |  -12 |  -12 | -140 |  884 |  884
086  | 117  | 0000_0001_0001_0111 |      279 |   -9 |   23 |   23 |  279 |  279 |  279
087  | 033  | 0000_0000_0011_0011 |       51 |  -13 |  -13 |   51 |   51 |   51 |   51
088  | 059  | 0000_0000_0101_1001 |       89 |   -7 |   25 |  -39 |   89 |   89 |   89
089  | 30a  | 0000_0011_0000_1010 |      778 |   10 |   10 |   10 | -246 |  778 |  778
08A  | 38a  | 0000_0011_1000_1010 |      906 |   10 |   10 |   10 | -118 |  906 |  906
08B  | 16f  | 0000_0001_0110_1111 |      367 |   15 |  -17 |  -17 |  367 |  367 |  367
08C  | 103  | 0000_0001_0000_0011 |      259 |    3 |    3 |    3 |  259 |  259 |  259
08D  | 3f4  | 0000_0011_1111_0100 |     1012 |  -12 |  -12 |  -12 |  -12 | 1012 | 1012
08E  | 27b  | 0000_0010_0111_1011 |      635 |   -5 |   -5 |   -5 | -389 |  635 |  635
08F  | 1fa  | 0000_0001_1111_1010 |      506 |   -6 |   -6 |   -6 |  506 |  506 |  506
090  | 334  | 0000_0011_0011_0100 |      820 |  -12 |  -12 |   52 | -204 |  820 |  820
091  | 2af  | 0000_0010_1010_1111 |      687 |   15 |  -17 |   47 | -337 |  687 |  687
092  | 2e9  | 0000_0010_1110_1001 |      745 |    9 |  -23 |  -23 | -279 |  745 |  745
093  | 166  | 0000_0001_0110_0110 |      358 |    6 |  -26 |  -26 |  358 |  358 |  358
094  | 2d0  | 0000_0010_1101_0000 |      720 |  -16 |   16 |  -48 | -304 |  720 |  720
095  | 137  | 0000_0001_0011_0111 |      311 |   -9 |   -9 |   55 |  311 |  311 |  311
096  | 3c3  | 0000_0011_1100_0011 |      963 |    3 |    3 |  -61 |  -61 |  963 |  963
097  | 179  | 0000_0001_0111_1001 |      377 |   -7 |   -7 |   -7 |  377 |  377 |  377
098  | 33e  | 0000_0011_0011_1110 |      830 |   -2 |   -2 |   62 | -194 |  830 |  830
099  | 201  | 0000_0010_0000_0001 |      513 |    1 |    1 |    1 | -511 |  513 |  513
09A  | 0dc  | 0000_0000_1101_1100 |      220 |   -4 |   28 |  -36 |  220 |  220 |  220
09B  | 168  | 0000_0001_0110_1000 |      360 |    8 |  -24 |  -24 |  360 |  360 |  360
09C  | 362  | 0000_0011_0110_0010 |      866 |    2 |  -30 |  -30 | -158 |  866 |  866
09D  | 05e  | 0000_0000_0101_1110 |       94 |   -2 |   30 |  -34 |   94 |   94 |   94
09E  | 307  | 0000_0011_0000_0111 |      775 |    7 |    7 |    7 | -249 |  775 |  775
09F  | 367  | 0000_0011_0110_0111 |      871 |    7 |  -25 |  -25 | -153 |  871 |  871
0A0  | 159  | 0000_0001_0101_1001 |      345 |   -7 |   25 |  -39 |  345 |  345 |  345
0A1  | 27b  | 0000_0010_0111_1011 |      635 |   -5 |   -5 |   -5 | -389 |  635 |  635
0A2  | 1ff  | 0000_0001_1111_1111 |      511 |   -1 |   -1 |   -1 |  511 |  511 |  511
0A3  | 1c6  | 0000_0001_1100_0110 |      454 |    6 |    6 |  -58 |  454 |  454 |  454
0A4  | 238  | 0000_0010_0011_1000 |      568 |   -8 |   -8 |   56 | -456 |  568 |  568
0A5  | 1b4  | 0000_0001_1011_0100 |      436 |  -12 |  -12 |   52 |  436 |  436 |  436
0A6  | 2b6  | 0000_0010_1011_0110 |      694 |  -10 |  -10 |   54 | -330 |  694 |  694
0A7  | 318  | 0000_0011_0001_1000 |      792 |   -8 |   24 |   24 | -232 |  792 |  792
0A8  | 285  | 0000_0010_1000_0101 |      645 |    5 |    5 |    5 | -379 |  645 |  645
0A9  | 11d  | 0000_0001_0001_1101 |      285 |   -3 |   29 |   29 |  285 |  285 |  285
0AA  | 2f2  | 0000_0010_1111_0010 |      754 |  -14 |  -14 |  -14 | -270 |  754 |  754
0AB  | 1e1  | 0000_0001_1110_0001 |      481 |    1 |  -31 |  -31 |  481 |  481 |  481
0AC  | 2b5  | 0000_0010_1011_0101 |      693 |  -11 |  -11 |   53 | -331 |  693 |  693
0AD  | 1dd  | 0000_0001_1101_1101 |      477 |   -3 |   29 |  -35 |  477 |  477 |  477
0AE  | 1f2  | 0000_0001_1111_0010 |      498 |  -14 |  -14 |  -14 |  498 |  498 |  498
0AF  | 283  | 0000_0010_1000_0011 |      643 |    3 |    3 |    3 | -381 |  643 |  643
0B0  | 0b2  | 0000_0000_1011_0010 |      178 |  -14 |  -14 |   50 |  178 |  178 |  178
0B1  | 2bb  | 0000_0010_1011_1011 |      699 |   -5 |   -5 |   59 | -325 |  699 |  699
0B2  | 3d2  | 0000_0011_1101_0010 |      978 |  -14 |   18 |  -46 |  -46 |  978 |  978
0B3  | 356  | 0000_0011_0101_0110 |      854 |  -10 |   22 |  -42 | -170 |  854 |  854
0B4  | 10c  | 0000_0001_0000_1100 |      268 |   12 |   12 |   12 |  268 |  268 |  268
0B5  | 2d4  | 0000_0010_1101_0100 |      724 |  -12 |   20 |  -44 | -300 |  724 |  724
0B6  | 10c  | 0000_0001_0000_1100 |      268 |   12 |   12 |   12 |  268 |  268 |  268
0B7  | 197  | 0000_0001_1001_0111 |      407 |   -9 |   23 |   23 |  407 |  407 |  407
0B8  | 0c9  | 0000_0000_1100_1001 |      201 |    9 |    9 |  -55 |  201 |  201 |  201
0B9  | 05e  | 0000_0000_0101_1110 |       94 |   -2 |   30 |  -34 |   94 |   94 |   94
0BA  | 34c  | 0000_0011_0100_1100 |      844 |   12 |   12 |  -52 | -180 |  844 |  844
0BB  | 12c  | 0000_0001_0010_1100 |      300 |   12 |  -20 |   44 |  300 |  300 |  300
0BC  | 14f  | 0000_0001_0100_1111 |      335 |   15 |   15 |  -49 |  335 |  335 |  335
0BD  | 035  | 0000_0000_0011_0101 |       53 |  -11 |  -11 |   53 |   53 |   53 |   53
0BE  | 39d  | 0000_0011_1001_1101 |      925 |   -3 |   29 |   29 |  -99 |  925 |  925
0BF  | 05b  | 0000_0000_0101_1011 |       91 |   -5 |   27 |  -37 |   91 |   91 |   91
0C0  | 095  | 0000_0000_1001_0101 |      149 |  -11 |   21 |   21 |  149 |  149 |  149
0C1  | 023  | 0000_0000_0010_0011 |       35 |    3 |  -29 |   35 |   35 |   35 |   35
0C2  | 200  | 0000_0010_0000_0000 |      512 |    0 |    0 |    0 | -512 |  512 |  512
0C3  | 046  | 0000_0000_0100_0110 |       70 |    6 |    6 |  -58 |   70 |   70 |   70
0C4  | 0db  | 0000_0000_1101_1011 |      219 |   -5 |   27 |  -37 |  219 |  219 |  219
0C5  | 035  | 0000_0000_0011_0101 |       53 |  -11 |  -11 |   53 |   53 |   53 |   53
0C6  | 37a  | 0000_0011_0111_1010 |      890 |   -6 |   -6 |   -6 | -134 |  890 |  890
0C7  | 1ff  | 0000_0001_1111_1111 |      511 |   -1 |   -1 |   -1 |  511 |  511 |  511
0C8  | 0f8  | 0000_0000_1111_1000 |      248 |   -8 |   -8 |   -8 |  248 |  248 |  248
0C9  | 22d  | 0000_0010_0010_1101 |      557 |   13 |  -19 |   45 | -467 |  557 |  557
0CA  | 197  | 0000_0001_1001_0111 |      407 |   -9 |   23 |   23 |  407 |  407 |  407
0CB  | 36b  | 0000_0011_0110_1011 |      875 |   11 |  -21 |  -21 | -149 |  875 |  875
0CC  | 2ca  | 0000_0010_1100_1010 |      714 |   10 |   10 |  -54 | -310 |  714 |  714
0CD  | 013  | 0000_0000_0001_0011 |       19 |  -13 |   19 |   19 |   19 |   19 |   19
0CE  | 2da  | 0000_0010_1101_1010 |      730 |   -6 |   26 |  -38 | -294 |  730 |  730
0CF  | 02c  | 0000_0000_0010_1100 |       44 |   12 |  -20 |   44 |   44 |   44 |   44
0D0  | 2b0  | 0000_0010_1011_0000 |      688 |  -16 |  -16 |   48 | -336 |  688 |  688
0D1  | 2da  | 0000_0010_1101_1010 |      730 |   -6 |   26 |  -38 | -294 |  730 |  730
0D2  | 0bc  | 0000_0000_1011_1100 |      188 |   -4 |   -4 |   60 |  188 |  188 |  188
0D3  | 297  | 0000_0010_1001_0111 |      663 |   -9 |   23 |   23 | -361 |  663 |  663
0D4  | 070  | 0000_0000_0111_0000 |      112 |  -16 |  -16 |  -16 |  112 |  112 |  112
0D5  | 013  | 0000_0000_0001_0011 |       19 |  -13 |   19 |   19 |   19 |   19 |   19
0D6  | 3ef  | 0000_0011_1110_1111 |     1007 |   15 |  -17 |  -17 |  -17 | 1007 | 1007
0D7  | 00e  | 0000_0000_0000_1110 |       14 |   14 |   14 |   14 |   14 |   14 |   14
0D8  | 01e  | 0000_0000_0001_1110 |       30 |   -2 |   30 |   30 |   30 |   30 |   30
0D9  | 161  | 0000_0001_0110_0001 |      353 |    1 |  -31 |  -31 |  353 |  353 |  353
0DA  | 20a  | 0000_0010_0000_1010 |      522 |   10 |   10 |   10 | -502 |  522 |  522
0DB  | 186  | 0000_0001_1000_0110 |      390 |    6 |    6 |    6 |  390 |  390 |  390
0DC  | 2a2  | 0000_0010_1010_0010 |      674 |    2 |  -30 |   34 | -350 |  674 |  674
0DD  | 1c7  | 0000_0001_1100_0111 |      455 |    7 |    7 |  -57 |  455 |  455 |  455
0DE  | 0e0  | 0000_0000_1110_0000 |      224 |    0 |  -32 |  -32 |  224 |  224 |  224
0DF  | 005  | 0000_0000_0000_0101 |        5 |    5 |    5 |    5 |    5 |    5 |    5
0E0  | 321  | 0000_0011_0010_0001 |      801 |    1 |  -31 |   33 | -223 |  801 |  801
0E1  | 127  | 0000_0001_0010_0111 |      295 |    7 |  -25 |   39 |  295 |  295 |  295
0E2  | 0c0  | 0000_0000_1100_0000 |      192 |    0 |    0 |  -64 |  192 |  192 |  192
0E3  | 1e3  | 0000_0001_1110_0011 |      483 |    3 |  -29 |  -29 |  483 |  483 |  483
0E4  | 152  | 0000_0001_0101_0010 |      338 |  -14 |   18 |  -46 |  338 |  338 |  338
0E5  | 09b  | 0000_0000_1001_1011 |      155 |   -5 |   27 |   27 |  155 |  155 |  155
0E6  | 2c9  | 0000_0010_1100_1001 |      713 |    9 |    9 |  -55 | -311 |  713 |  713
0E7  | 3c7  | 0000_0011_1100_0111 |      967 |    7 |    7 |  -57 |  -57 |  967 |  967
0E8  | 220  | 0000_0010_0010_0000 |      544 |    0 |  -32 |   32 | -480 |  544 |  544
0E9  | 2c9  | 0000_0010_1100_1001 |      713 |    9 |    9 |  -55 | -311 |  713 |  713
0EA  | 143  | 0000_0001_0100_0011 |      323 |    3 |    3 |  -61 |  323 |  323 |  323
0EB  | 1eb  | 0000_0001_1110_1011 |      491 |   11 |  -21 |  -21 |  491 |  491 |  491
0EC  | 14a  | 0000_0001_0100_1010 |      330 |   10 |   10 |  -54 |  330 |  330 |  330
0ED  | 041  | 0000_0000_0100_0001 |       65 |    1 |    1 |  -63 |   65 |   65 |   65
0EE  | 009  | 0000_0000_0000_1001 |        9 |    9 |    9 |    9 |    9 |    9 |    9
0EF  | 1bd  | 0000_0001_1011_1101 |      445 |   -3 |   -3 |   61 |  445 |  445 |  445
0F0  | 31d  | 0000_0011_0001_1101 |      797 |   -3 |   29 |   29 | -227 |  797 |  797
0F1  | 275  | 0000_0010_0111_0101 |      629 |  -11 |  -11 |  -11 | -395 |  629 |  629
0F2  | 0ad  | 0000_0000_1010_1101 |      173 |   13 |  -19 |   45 |  173 |  173 |  173
0F3  | 124  | 0000_0001_0010_0100 |      292 |    4 |  -28 |   36 |  292 |  292 |  292
0F4  | 3b1  | 0000_0011_1011_0001 |      945 |  -15 |  -15 |   49 |  -79 |  945 |  945
0F5  | 2c6  | 0000_0010_1100_0110 |      710 |    6 |    6 |  -58 | -314 |  710 |  710
0F6  | 1a7  | 0000_0001_1010_0111 |      423 |    7 |  -25 |   39 |  423 |  423 |  423
0F7  | 05a  | 0000_0000_0101_1010 |       90 |   -6 |   26 |  -38 |   90 |   90 |   90
0F8  | 2de  | 0000_0010_1101_1110 |      734 |   -2 |   30 |  -34 | -290 |  734 |  734
0F9  | 06c  | 0000_0000_0110_1100 |      108 |   12 |  -20 |  -20 |  108 |  108 |  108
0FA  | 01d  | 0000_0000_0001_1101 |       29 |   -3 |   29 |   29 |   29 |   29 |   29
0FB  | 15a  | 0000_0001_0101_1010 |      346 |   -6 |   26 |  -38 |  346 |  346 |  346
0FC  | 326  | 0000_0011_0010_0110 |      806 |    6 |  -26 |   38 | -218 |  806 |  806
0FD  | 23b  | 0000_0010_0011_1011 |      571 |   -5 |   -5 |   59 | -453 |  571 |  571
0FE  | 163  | 0000_0001_0110_0011 |      355 |    3 |  -29 |  -29 |  355 |  355 |  355
0FF  | 331  | 0000_0011_0011_0001 |      817 |  -15 |  -15 |   49 | -207 |  817 |  817
100  | 353  | 0000_0011_0101_0011 |      851 |  -13 |   19 |  -45 | -173 |  851 |  851
101  | 2e3  | 0000_0010_1110_0011 |      739 |    3 |  -29 |  -29 | -285 |  739 |  739
102  | 1d3  | 0000_0001_1101_0011 |      467 |  -13 |   19 |  -45 |  467 |  467 |  467
103  | 238  | 0000_0010_0011_1000 |      568 |   -8 |   -8 |   56 | -456 |  568 |  568
104  | 0a8  | 0000_0000_1010_1000 |      168 |    8 |  -24 |   40 |  168 |  168 |  168
105  | 214  | 0000_0010_0001_0100 |      532 |  -12 |   20 |   20 | -492 |  532 |  532
106  | 280  | 0000_0010_1000_0000 |      640 |    0 |    0 |    0 | -384 |  640 |  640
107  | 275  | 0000_0010_0111_0101 |      629 |  -11 |  -11 |  -11 | -395 |  629 |  629
108  | 0c8  | 0000_0000_1100_1000 |      200 |    8 |    8 |  -56 |  200 |  200 |  200
109  | 01e  | 0000_0000_0001_1110 |       30 |   -2 |   30 |   30 |   30 |   30 |   30
10A  | 10d  | 0000_0001_0000_1101 |      269 |   13 |   13 |   13 |  269 |  269 |  269
10B  | 31f  | 0000_0011_0001_1111 |      799 |   -1 |   31 |   31 | -225 |  799 |  799
10C  | 11b  | 0000_0001_0001_1011 |      283 |   -5 |   27 |   27 |  283 |  283 |  283
