ROW | EXT_1 | EXT_2
346 |     2 |     3
348 |    -5 |    -4
34A |     4 |     1
34C |     1 |     8
34E |     8 |     6
350 |     0 |     9
352 |    -3 |     6
354 |     8 |    -3
356 |    -8 |    -6
358 |   -10 |     7
35A |     6 |    11
35C |     6 |    11
35E |     5 |     1
360 |    -6 |    -6
362 |    -7 |     9
364 |    -2 |     7
366 |     2 |    13
368 |     8 |     7
36A |     7 |    15
36C |    12 |     4
36E |    -4 |     8
370 |     6 |    -5
372 |     1 |    -5
374 |    -6 |   -13
376 |    15 |   -10
378 |    17 |   -12
37A |    -9 |     6
37C |     5 |     7
37E |    12 |    -6
380 |     7 |    -5
382 |    -7 |    11
384 |    -7 |     7
386 |     9 |     6
388 |   -10 |    -6
38A |     8 |   -11
38C |    10 |    -7
38E |    -3 |    11
390 |    14 |    -9
392 |    13 |    -3
394 |    16 |     7
396 |    -1 |    -3
398 |     7 |    -2
39A |     7 |     7
39C |     0 |    -7
39E |     9 |    -6
3A0 |    12 |    -5
3A2 |   -10 |     2
3A4 |    14 |     5
3A6 |    -1 |     2
3A8 |     1 |    -7
3AA |     0 |     5
3AC |     0 |     1
3AE |    -1 |    -1
3B0 |     3 |     6
3B2 |     1 |    -1
3B4 |    -1 |     1
3B6 |     1 |     8
3B8 |    -6 |     0
3BA |    -7 |    -4
3BC |     2 |    -9
3BE |     5 |     7
3C0 |     0 |     2
3C2 |    -8 |     5
3C4 |     5 |     6
3C6 |     7 |    -3
3C8 |     5 |    -1
3CA |     2 |    -5
3CC |     5 |     5
3CE |    -1 |     2
3D0 |     1 |     0
3D2 |     2 |    -3
3D4 |     3 |    -8
3D6 |    -8 |     6
3D8 |    -2 |    -8
3DA |    -1 |     3
3DC |    -5 |     0
3DE |     1 |    -5
3E0 |     0 |     7
3E2 |     0 |    -5
3E4 |    -6 |     4
3E6 |     4 |     8
3E8 |     1 |     0
3EA |    15 |     3
3EC |    10 |     1
3EE |    -8 |   -15
3F0 |     7 |    -6
3F2 |     7 |     2
3F4 |    -3 |    -6
3F6 |     4 |     7
3F8 |    -1 |     7
3FA |    -5 |    -5
3FC |    -4 |     0
3FE |     8 |    -3
400 |     7 |     5
402 |     5 |    11
404 |     8 |    -6
406 |     6 |     0
408 |    13 |    13
40A |    11 |    14
40C |     7 |   -10
40E |    10 |    -4
410 |     1 |    -5
412 |     0 |     1
414 |    -3 |    -2
416 |     0 |     4
418 |    -6 |     7
41A |    12 |     7
41C |    -5 |    -2
41E |     8 |     0
420 |    -2 |     7
422 |    -4 |    -6
424 |     1 |    11
426 |    -4 |    -6
428 |    -1 |     1
42A |    -1 |    -5
42C |    -5 |     1
42E |    -6 |    -2
430 |     3 |    10
432 |     2 |    -5
434 |     3 |    -6
436 |     6 |    -5
438 |    -2 |     0
43A |    -2 |     7
43C |     1 |     5
43E |     1 |     7
440 |     3 |    -2
442 |     2 |     3
444 |    -6 |     3
446 |     7 |     7
448 |     5 |     4
44A |    -7 |    -1
44C |     0 |     6
44E |     5 |   -11
450 |    -6 |     6
452 |    14 |     0
454 |     5 |     6
456 |    -2 |    -3
458 |    -5 |    -6
45A |    -6 |    10
45C |     3 |    10
45E |    -3 |    -6
460 |     8 |     3
462 |    -1 |     1
464 |     6 |     0
466 |    -6 |     2
468 |     6 |    -2
46A |    -1 |     2
46C |     3 |    -1
46E |     0 |    -3
470 |     0 |    -4
472 |   -10 |     8
474 |     7 |     9
476 |    10 |     7
478 |    12 |   -11
47A |    13 |   -11
47C |   -11 |    13
47E |    -7 |   -11
480 |    -3 |    -9
482 |    -4 |    10
484 |    -5 |     1
486 |    -4 |     3
488 |    -1 |     6
48A |     5 |     4
48C |     3 |     9
48E |     5 |    -5
490 |     0 |     2
492 |     5 |    -2
494 |    -3 |     1
496 |     7 |   -10
498 |     9 |     5
49A |     7 |     4
49C |     1 |    -2
49E |     3 |    -3
4A0 |    -6 |   -14
4A2 |    13 |     5
4A4 |     6 |   -19
4A6 |    13 |    -6
4A8 |    19 |    18
4AA |   -12 |   -17
4AC |   -13 |    13
4AE |    17 |    -9
4B0 |    15 |    -6
4B2 |    15 |    -9
4B4 |    12 |   -10
4B6 |     7 |    -5
4B8 |     3 |    -5
4BA |    -1 |     3
4BC |     0 |     7
4BE |     1 |    -2
4C0 |     7 |     4
4C2 |     3 |    -1
4C4 |     0 |    -4
4C6 |    -3 |     3
4C8 |    -3 |    -1
4CA |    -2 |    12
4CC |   -13 |    -5
4CE |    14 |    10
4D0 |     9 |    -1
4D2 |     7 |   -12
4D4 |     0 |    -5
4D6 |   -12 |   -13
4D8 |    11 |   -12
4DA |   -12 |    15
4DC |    13 |    16
4DE |    13 |    20
4E0 |     7 |    22
4E2 |    -9 |    12
4E4 |    10 |    -8
4E6 |    -7 |    -7
4E8 |    15 |    13
4EA |    -3 |    -9
4EC |     4 |     7
4EE |     4 |     4
4F0 |    -1 |     2
4F2 |     2 |     0
4F4 |     2 |     5
4F6 |     7 |    -4
4F8 |     5 |    -1
4FA |     4 |     7
4FC |     6 |    11
4FE |    -8 |     9
500 |    12 |    -3
502 |     9 |    -6
504 |     9 |    11
506 |    -8 |   -10
508 |    11 |    -8
50A |    -7 |    -6
50C |     7 |    -5
50E |     6 |    -6
510 |     6 |     8
512 |    -8 |    -6
514 |     8 |    -5
516 |     5 |    10
518 |    -4 |     3
51A |     0 |    -7
51C |     6 |    -5
51E |    -6 |    -6
520 |    -6 |    11
522 |     7 |    -8
524 |     2 |     4
526 |     1 |     1
528 |     1 |    -3
52A |    -4 |   -10
52C |    -9 |    13
52E |     1 |     1
530 |   -18 |    -1
532 |     9 |    13
534 |     0 |     2
536 |     5 |   -15
538 |     6 |    10
53A |    -3 |     6
53C |     7 |     0
53E |    -3 |     2
540 |     8 |     1
542 |     2 |     3
544 |     1 |    -8
546 |    -1 |     1
548 |     3 |     7
54A |     0 |     0
54C |     0 |    -1
54E |     3 |    -4
550 |     0 |     5
552 |    -2 |     6
554 |     7 |     1
556 |     1 |    -1
558 |    -9 |    -5
55A |     8 |    11
55C |     8 |     9
55E |    -6 |     7
560 |     2 |   -11
562 |     7 |    -4
564 |    -6 |     9
566 |     0 |     7
568 |     4 |    -8
56A |     7 |     3
56C |    -5 |     0
56E |     1 |     1
570 |    -3 |     1
572 |    -3 |     4
574 |    -1 |     5
576 |     1 |     1
578 |     3 |     1
57A |     2 |     0
57C |     1 |    -1
57E |    -2 |    -3
580 |     0 |    -3
582 |     0 |     2
584 |     1 |     4
586 |     0 |     3
588 |     8 |     1
58A |     4 |     1
58C |     0 |     0
58E |     5 |    -2
590 |     0 |     0
592 |     4 |     1
594 |     2 |     1
596 |     1 |    -1
598 |     0 |     4
59A |     5 |     2
59C |    -3 |     3
59E |    -1 |     2
5A0 |    -3 |     0
5A2 |     1 |     7
5A4 |     2 |     2
5A6 |     1 |     1
5A8 |    -2 |    -6
5AA |    -1 |     7
5AC |     2 |     0
5AE |     1 |    -5
5B0 |    -4 |     2
5B2 |    -1 |    -1
5B4 |     0 |     0
5B6 |    -7 |     3
5B8 |     2 |     0
5BA |    -1 |     0
5BC |     0 |     8
5BE |    -6 |    -7
5C0 |     3 |     9
5C2 |     2 |    -2
5C4 |    -2 |     0
5C6 |     5 |     7
5C8 |     3 |     4
5CA |     6 |     5
5CC |     8 |     3
5CE |     8 |     2
5D0 |     1 |     1
5D2 |     0 |    -3
5D4 |     1 |     0
5D6 |     4 |     3
5D8 |     2 |    -2
5DA |    -1 |    -2
5DC |     3 |     0
5DE |     4 |     0
5E0 |     8 |     1
5E2 |     1 |     5
5E4 |    -5 |    -1
5E6 |     1 |     1
5E8 |    -4 |    -1
5EA |     2 |     2
5EC |    -1 |     2
5EE |    -1 |     2
5F0 |    -1 |     4
5F2 |     3 |     1
5F4 |     4 |    -3
5F6 |     6 |    -5
5F8 |     5 |     7
5FA |   -12 |    12
5FC |     7 |    -5
5FE |    -1 |     9
600 |     9 |    -1
602 |    11 |     7
604 |     0 |     3
606 |    -6 |    -4
608 |    -3 |    -3
60A |    -6 |    -5
60C |    -6 |     8
60E |     2 |     6
610 |     1 |    -6
612 |    -1 |    -7
614 |     3 |    -2
616 |     1 |    -5
618 |     3 |    10
61A |     4 |     2
61C |    -4 |     7
61E |    -4 |     7
620 |    -3 |     5
622 |     1 |    -3
624 |    -2 |     8
626 |     7 |    -4
628 |    -7 |     7
62A |    10 |     7
62C |    -1 |     4
62E |     9 |   -10
630 |     7 |    -6
632 |     3 |    -1
634 |     1 |     4
636 |    -1 |    -1
638 |     4 |   -13
63A |     7 |     1
63C |    14 |     9
63E |    -8 |    -8
640 |    -5 |     7
642 |    13 |     9
644 |    -5 |     9
646 |    -9 |    -4
648 |     7 |     7
64A |     9 |    -9
64C |     6 |     8
64E |     4 |    -1
650 |    -3 |     4
652 |    -3 |     8
654 |     4 |     2
656 |    -9 |    -4
658 |     5 |     9
65A |    -5 |     1
65C |     5 |     1
65E |    -8 |    -6
660 |     2 |    -4
662 |     0 |     2
664 |     3 |    -1
666 |     1 |     1
668 |     0 |    -6
66A |     8 |    -4
66C |    14 |     7
66E |     3 |     1
670 |     8 |     0
672 |     1 |    -1
674 |     0 |    -6
676 |     2 |    -2
678 |     1 |    -1
67A |     1 |    -6
67C |    -1 |     3
67E |    -3 |    -3
680 |    -6 |    10
682 |     9 |    -5
684 |    -6 |   -12
686 |     6 |     0
688 |    11 |    -3
68A |    -4 |    -4
68C |     6 |    -6
68E |     6 |     4
690 |    -2 |    -2
692 |     8 |    -3
694 |    -5 |     6
696 |     7 |    -1
698 |    -4 |     6
69A |    -6 |    -3
69C |    -6 |     7
69E |    -5 |    -3
6A0 |     1 |    -2
6A2 |    -4 |    -8
6A4 |     6 |    -6
6A6 |    -4 |    -1
6A8 |     9 |    -2
6AA |     9 |     5
6AC |     4 |     3
6AE |    -6 |    -5
6B0 |    -5 |     7
6B2 |     4 |    -8
6B4 |    -5 |     5
6B6 |    -2 |     7
6B8 |     7 |     1
6BA |     0 |     5
6BC |    -1 |     1
6BE |    10 |    -2
6C0 |     0 |    -2
6C2 |   -13 |    11
6C4 |    14 |    -4
6C6 |    12 |    -7
6C8 |    -4 |     0
6CA |    -4 |     5
6CC |   -11 |     1
6CE |     3 |     0
6D0 |    -2 |    -5
6D2 |     0 |    -1
6D4 |     5 |     6
6D6 |    -2 |     2
6D8 |     2 |     0
6DA |     0 |    -2
6DC |     3 |     2
6DE |    -3 |     5
6E0 |     1 |     3
6E2 |     5 |     3
6E4 |     0 |     0
6E6 |     1 |     5
6E8 |     2 |     0
6EA |    -5 |    -2
6EC |    -1 |    -4
6EE |     2 |     9
6F0 |     3 |    -7
6F2 |    -2 |     1
6F4 |    -3 |    -5
6F6 |     2 |     0
6F8 |     0 |     1
6FA |     0 |    -1
6FC |     2 |     1
6FE |    -1 |     0
700 |     0 |     0
702 |     6 |    -5
704 |     2 |     1
706 |    -2 |     1
708 |     5 |     9
70A |     1 |    -5
70C |     1 |     9
70E |    -9 |    -3
710 |   -10 |   -10
712 |    14 |    -9
714 |    14 |   -16
716 |    20 |   -16
718 |    14 |   -10
71A |   -19 |    11
71C |   -13 |    12
71E |    -7 |    -7
720 |    -6 |     6
722 |    13 |     6
724 |     5 |    -7
726 |    -7 |    -1
728 |    -5 |    -6
72A |    -2 |     9
72C |    -9 |     1
72E |     0 |   -10
730 |     1 |    -6
732 |     3 |     1
734 |     1 |     5
736 |     7 |     1
738 |     0 |     3
73A |     1 |    -1
73C |     1 |     1
73E |    -6 |    -6
740 |     1 |     6
742 |     0 |    -2
744 |     7 |     0
746 |    -3 |    -3
748 |     1 |    -6
74A |    -1 |     1
74C |     1 |    -1
74E |     1 |     0
750 |    -4 |    -3
752 |     1 |     1
754 |    -4 |     1
756 |     1 |     1
758 |     5 |     5
75A |     0 |     6
75C |    -1 |    -1
75E |     2 |     3
760 |     0 |     3
762 |     7 |     2
764 |     1 |    -5
766 |    -1 |     2
768 |     1 |     5
76A |    -1 |    -2
76C |     0 |    -4
76E |     0 |     3
770 |     0 |    -1
772 |     0 |    -3
774 |    -6 |     0
776 |     2 |    -2
778 |     1 |    -6
77A |     3 |    -1
77C |     3 |    -2
77E |     3 |    -3
780 |    10 |     3
782 |    -4 |    -3
784 |    -2 |    -3
786 |    -6 |    -9
788 |    10 |    -1
78A |    13 |     7
78C |     8 |     4
78E |    -1 |    -1
790 |    -5 |     4
792 |     2 |     0
794 |     3 |    -5
796 |     0 |    -4
798 |     1 |    -1
79A |     4 |     0
79C |     8 |    -8
79E |    -4 |     4
7A0 |     0 |     1
7A2 |     0 |     0
7A4 |     1 |     0
7A6 |    -2 |     3
7A8 |     1 |    -3
7AA |     1 |     5
7AC |     2 |     0
7AE |    -1 |     0
7B0 |    -4 |     9
7B2 |     1 |     5
7B4 |     8 |     2
7B6 |    -5 |    -2
7B8 |     1 |    -7
7BA |     7 |     4
7BC |    -1 |     3
7BE |     7 |     0
7C0 |     3 |     7
7C2 |     7 |     0
7C4 |    -2 |     3
7C6 |     3 |     1
7C8 |     2 |     6
7CA |     0 |     0
7CC |     5 |     2
7CE |     1 |     0
7D0 |     5 |     2
7D2 |     0 |    -6
7D4 |     1 |     0
7D6 |     4 |    -3
7D8 |     0 |    10
7DA |     0 |     5
7DC |    12 |     1
7DE |    -4 |    -4
7E0 |    -2 |     7
7E2 |    -6 |     3
7E4 |     1 |     9
7E6 |    -8 |    -4
7E8 |     2 |    10
7EA |    -1 |     0
7EC |    -3 |     1
7EE |     1 |     1
7F0 |     1 |     1
7F2 |     1 |     2
7F4 |     2 |     1
7F6 |     0 |    -2
7F8 |     4 |     4
7FA |     4 |     2
7FC |     0 |     4
7FE |     0 |     2
800 |     6 |    -6
802 |    -1 |     1
804 |     0 |     7
806 |     1 |     3
808 |     1 |    10
80A |     6 |     2
80C |    -1 |    -6
80E |     1 |     3
810 |     1 |     7
812 |    -1 |    -2
814 |    -2 |     3
816 |    -9 |   -10
818 |   -10 |    -8
81A |    -6 |    -8
81C |    13 |    -9
81E |    13 |   -11
820 |    -6 |   -11
822 |    -6 |    -8
824 |   -12 |   -12
826 |    11 |     0
828 |     8 |    -3
82A |     0 |    -3
82C |     1 |    -7
82E |    -2 |    -2
830 |     2 |     5
832 |    -4 |     0
834 |    -1 |     1
836 |    -2 |     0
838 |     1 |     3
83A |     1 |     0
83C |     2 |    -2
83E |    -1 |     3
840 |     2 |     1
842 |     3 |     3
844 |    -4 |     2
846 |     1 |    10
848 |     0 |     1
84A |     3 |     2
84C |     6 |     1
84E |     5 |    -1
850 |    -2 |     0
852 |     7 |     5
854 |     2 |    -6
856 |     8 |     1
858 |    -2 |    -2
85A |    -4 |    -5
85C |     9 |     9
85E |    11 |    -8
860 |     1 |    -5
862 |    -3 |    -4
864 |     8 |    10
866 |    11 |    15
868 |    14 |   -10
86A |   -12 |   -12
86C |    -9 |   -11
86E |    16 |    16
870 |   -14 |   -19
872 |   -12 |   -12
874 |   -12 |   -12
876 |    10 |   -10
878 |    -3 |     9
87A |     4 |    12
87C |     5 |     0
87E |    -4 |     1
880 |    -1 |     3
882 |     5 |     3
884 |    -2 |     2
886 |    -2 |     1
888 |     4 |    -2
88A |     2 |     0
88C |     1 |     6
88E |     2 |     6
890 |     1 |    -2
892 |     1 |     1
894 |     0 |    12
896 |    -8 |     2
898 |    -4 |     3
89A |     4 |    11
89C |     0 |     1
89E |    -6 |     1
8A0 |     5 |     0
8A2 |     2 |     0
8A4 |    -8 |     0
8A6 |    -4 |    -2
8A8 |     1 |     0
8AA |    -5 |    -3
8AC |     2 |     1
8AE |     5 |     0
8B0 |     0 |     0
8B2 |     1 |     4
8B4 |     0 |    -1
8B6 |    -3 |     1
8B8 |     4 |     0
8BA |     3 |     0
8BC |     4 |     5
8BE |     2 |    -1
8C0 |    -1 |    -3
8C2 |     4 |     3
8C4 |    -2 |     0
8C6 |     0 |     6
8C8 |     1 |     0
8CA |     0 |     4
8CC |    -4 |    -6
8CE |     2 |     4
8D0 |     7 |    -5
8D2 |    -1 |     3
8D4 |     1 |    -3
8D6 |     2 |     1
8D8 |    -4 |     5
8DA |     7 |    -8
8DC |     7 |     0
8DE |    14 |    -6
8E0 |    10 |     9
8E2 |     4 |    -6
8E4 |   -13 |    12
8E6 |    -6 |    14
8E8 |    -4 |   -13
8EA |    -3 |     3
8EC |     0 |     1
8EE |     1 |     1
8F0 |    12 |     9
8F2 |     5 |    -1
8F4 |   -12 |     2
8F6 |    14 |     2
8F8 |     3 |    11
8FA |     7 |    -5
8FC |     1 |     3
8FE |     8 |    -6
900 |     3 |     2
902 |    -2 |     0
904 |    -8 |    10
906 |     9 |     7
908 |    -5 |    -6
90A |     9 |    -3
90C |     7 |    -3
90E |     7 |     7
910 |     7 |     3
912 |    -5 |     8
914 |    -5 |     0
916 |     5 |     5
918 |     5 |     0
91A |    -5 |     2
91C |    -3 |     0
91E |     0 |     4
920 |     1 |     3
922 |     8 |    -3
924 |     1 |    12
926 |     4 |    -2
928 |    -3 |     3
92A |     2 |    -1
92C |     5 |     5
92E |    -3 |     3
930 |     7 |    -1
932 |     0 |     0
934 |     6 |     0
936 |    -2 |     6
938 |     1 |     1
93A |    -2 |     7
93C |     8 |    -6
93E |     4 |    12
940 |    -6 |    10
942 |    11 |    11
944 |     7 |    -7
946 |    -3 |    -3
948 |    -7 |    -6
94A |    -5 |    -9
94C |    11 |   -11
94E |     3 |    -5
950 |    -1 |     1
952 |    -8 |     0
954 |     8 |    10
956 |    -2 |     1
958 |     4 |     8
95A |    -1 |     6
95C |    10 |    -5
95E |     7 |     8
960 |    -4 |    -6
962 |   -10 |     6
964 |    -2 |    14
966 |    -7 |    11
968 |    13 |    -3
96A |    -7 |     8
96C |    -7 |   -12
96E |     6 |    -4
970 |    -8 |     7
972 |   -10 |     1
974 |   -12 |   -12
976 |     7 |    13
978 |     7 |    -8
97A |     7 |     9
97C |     5 |     9
97E |     7 |    -3
980 |     0 |     7
982 |     6 |    14
984 |     3 |    -1
986 |     3 |     6
988 |     5 |     5
98A |    -3 |    -4
98C |    -4 |     9
98E |     7 |    -2
990 |     4 |    10
992 |     7 |    -5
994 |    -7 |    10
996 |     7 |     5
998 |   -10 |     9
99A |     2 |    -6
