ADDR | HEX  |       BINARY       | UNSIGNED |  S10 |  S12 |  S16
01B  | 78DA | 0111_1000_1101_1010 |    30938 |  218 | -1830 | 30938
01C  | 03A4 | 0000_0011_1010_0100 |      932 |  -92 |  932 |  932
01D  | 079D | 0000_0111_1001_1101 |     1949 |  -99 | 1949 | 1949
01E  | 03D9 | 0000_0011_1101_1001 |      985 |  -39 |  985 |  985
01F  | 7BC4 | 0111_1011_1100_0100 |    31684 |  -60 | -1084 | 31684
020  | 0B42 | 0000_1011_0100_0010 |     2882 | -190 | -1214 | 2882
021  | 001E | 0000_0000_0001_1110 |       30 |   30 |   30 |   30
022  | 03E5 | 0000_0011_1110_0101 |      997 |  -27 |  997 |  997
023  | 7F24 | 0111_1111_0010_0100 |    32548 | -220 | -220 | 32548
024  | 7BA1 | 0111_1011_1010_0001 |    31649 |  -95 | -1119 | 31649
025  | 0899 | 0000_1000_1001_1001 |     2201 |  153 | -1895 | 2201
026  | 03C3 | 0000_0011_1100_0011 |      963 |  -61 |  963 |  963
027  | 0383 | 0000_0011_1000_0011 |      899 | -125 |  899 |  899
028  | 0B47 | 0000_1011_0100_0111 |     2887 | -185 | -1209 | 2887
029  | 78A2 | 0111_1000_1010_0010 |    30882 |  162 | -1886 | 30882
02A  | 7CC4 | 0111_1100_1100_0100 |    31940 |  196 | -828 | 31940
02B  | 0384 | 0000_0011_1000_0100 |      900 | -124 |  900 |  900
02C  | 7F27 | 0111_1111_0010_0111 |    32551 | -217 | -217 | 32551
02D  | 07E6 | 0000_0111_1110_0110 |     2022 |  -26 | 2022 | 2022
02E  | 7B46 | 0111_1011_0100_0110 |    31558 | -186 | -1210 | 31558
02F  | 04A7 | 0000_0100_1010_0111 |     1191 |  167 | 1191 | 1191
030  | 0746 | 0000_0111_0100_0110 |     1862 | -186 | 1862 | 1862
031  | 043B | 0000_0100_0011_1011 |     1083 |   59 | 1083 | 1083
032  | 7BA4 | 0111_1011_1010_0100 |    31652 |  -92 | -1116 | 31652
033  | 7B5F | 0111_1011_0101_1111 |    31583 | -161 | -1185 | 31583
034  | 087C | 0000_1000_0111_1100 |     2172 |  124 | -1924 | 2172
035  | 7C21 | 0111_1100_0010_0001 |    31777 |   33 | -991 | 31777
036  | 7C3B | 0111_1100_0011_1011 |    31803 |   59 | -965 | 31803
037  | 0B3D | 0000_1011_0011_1101 |     2877 | -195 | -1219 | 2877
038  | 087B | 0000_1000_0111_1011 |     2171 |  123 | -1925 | 2171
039  | 077F | 0000_0111_0111_1111 |     1919 | -129 | 1919 | 1919
03A  | 0B9D | 0000_1011_1001_1101 |     2973 |  -99 | -1123 | 2973
03B  | 00C1 | 0000_0000_1100_0001 |      193 |  193 |  193 |  193
03C  | 7FFF | 0111_1111_1111_1111 |    32767 |   -1 |   -1 | 32767
03D  | 085A | 0000_1000_0101_1010 |     2138 |   90 | -1958 | 2138
03E  | 039C | 0000_0011_1001_1100 |      924 | -100 |  924 |  924
03F  | 0341 | 0000_0011_0100_0001 |      833 | -191 |  833 |  833
040  | 03E4 | 0000_0011_1110_0100 |      996 |  -28 |  996 |  996
041  | 03C6 | 0000_0011_1100_0110 |      966 |  -58 |  966 |  966
042  | 077A | 0000_0111_0111_1010 |     1914 | -134 | 1914 | 1914
043  | 03C2 | 0000_0011_1100_0010 |      962 |  -62 |  962 |  962
044  | 0461 | 0000_0100_0110_0001 |     1121 |   97 | 1121 | 1121
045  | 04E2 | 0000_0100_1110_0010 |     1250 |  226 | 1250 | 1250
046  | 03DD | 0000_0011_1101_1101 |      989 |  -35 |  989 |  989
047  | 7C9A | 0111_1100_1001_1010 |    31898 |  154 | -870 | 31898
048  | 03BC | 0000_0011_1011_1100 |      956 |  -68 |  956 |  956
049  | 0384 | 0000_0011_1000_0100 |      900 | -124 |  900 |  900
04A  | 0047 | 0000_0000_0100_0111 |       71 |   71 |   71 |   71
04B  | 7C84 | 0111_1100_1000_0100 |    31876 |  132 | -892 | 31876
04C  | 78FF | 0111_1000_1111_1111 |    30975 |  255 | -1793 | 30975
04D  | 7B24 | 0111_1011_0010_0100 |    31524 | -220 | -1244 | 31524
04E  | 0445 | 0000_0100_0100_0101 |     1093 |   69 | 1093 | 1093
04F  | 07C0 | 0000_0111_1100_0000 |     1984 |  -64 | 1984 | 1984
050  | 7F47 | 0111_1111_0100_0111 |    32583 | -185 | -185 | 32583
051  | 08BB | 0000_1000_1011_1011 |     2235 |  187 | -1861 | 2235
052  | 7B66 | 0111_1011_0110_0110 |    31590 | -154 | -1178 | 31590
053  | 04D9 | 0000_0100_1101_1001 |     1241 |  217 | 1241 | 1241
054  | 781C | 0111_1000_0001_1100 |    30748 |   28 | -2020 | 30748
055  | 7C5A | 0111_1100_0101_1010 |    31834 |   90 | -934 | 31834
056  | 7CC0 | 0111_1100_1100_0000 |    31936 |  192 | -832 | 31936
057  | 08DC | 0000_1000_1101_1100 |     2268 |  220 | -1828 | 2268
058  | 0BDA | 0000_1011_1101_1010 |     3034 |  -38 | -1062 | 3034
059  | 7F66 | 0111_1111_0110_0110 |    32614 | -154 | -154 | 32614
05A  | 07FE | 0000_0111_1111_1110 |     2046 |   -2 | 2046 | 2046
05B  | 7B9E | 0111_1011_1001_1110 |    31646 |  -98 | -1122 | 31646
05C  | 00C2 | 0000_0000_1100_0010 |      194 |  194 |  194 |  194
05D  | 083C | 0000_1000_0011_1100 |     2108 |   60 | -1988 | 2108
05E  | 00FE | 0000_0000_1111_1110 |      254 |  254 |  254 |  254
05F  | 07A5 | 0000_0111_1010_0101 |     1957 |  -91 | 1957 | 1957
060  | 0B67 | 0000_1011_0110_0111 |     2919 | -153 | -1177 | 2919
061  | 035A | 0000_0011_0101_1010 |      858 | -166 |  858 |  858
062  | 0462 | 0000_0100_0110_0010 |     1122 |   98 | 1122 | 1122
063  | 7B44 | 0111_1011_0100_0100 |    31556 | -188 | -1212 | 31556
064  | 077A | 0000_0111_0111_1010 |     1914 | -134 | 1914 | 1914
065  | 0B42 | 0000_1011_0100_0010 |     2882 | -190 | -1214 | 2882
066  | 7CC6 | 0111_1100_1100_0110 |    31942 |  198 | -826 | 31942
067  | 7B9C | 0111_1011_1001_1100 |    31644 | -100 | -1124 | 31644
068  | 0346 | 0000_0011_0100_0110 |      838 | -186 |  838 |  838
069  | 0847 | 0000_1000_0100_0111 |     2119 |   71 | -1977 | 2119
06A  | 7C27 | 0111_1100_0010_0111 |    31783 |   39 | -985 | 31783
06B  | 0740 | 0000_0111_0100_0000 |     1856 | -192 | 1856 | 1856
06C  | 7C26 | 0111_1100_0010_0110 |    31782 |   38 | -986 | 31782
06D  | 08BF | 0000_1000_1011_1111 |     2239 |  191 | -1857 | 2239
06E  | 0BC4 | 0000_1011_1100_0100 |     3012 |  -60 | -1084 | 3012
06F  | 7F21 | 0111_1111_0010_0001 |    32545 | -223 | -223 | 32545
070  | 0786 | 0000_0111_1000_0110 |     1926 | -122 | 1926 | 1926
071  | 7CE0 | 0111_1100_1110_0000 |    31968 |  224 | -800 | 31968
072  | 08DD | 0000_1000_1101_1101 |     2269 |  221 | -1827 | 2269
073  | 0B25 | 0000_1011_0010_0101 |     2853 | -219 | -1243 | 2853
074  | 00DA | 0000_0000_1101_1010 |      218 |  218 |  218 |  218
075  | 03C7 | 0000_0011_1100_0111 |      967 |  -57 |  967 |  967
076  | 78DD | 0111_1000_1101_1101 |    30941 |  221 | -1827 | 30941
077  | 08A0 | 0000_1000_1010_0000 |     2208 |  160 | -1888 | 2208
078  | 0382 | 0000_0011_1000_0010 |      898 | -126 |  898 |  898
079  | 7F61 | 0111_1111_0110_0001 |    32609 | -159 | -159 | 32609
07A  | 0764 | 0000_0111_0110_0100 |     1892 | -156 | 1892 | 1892
07B  | 7C24 | 0111_1100_0010_0100 |    31780 |   36 | -988 | 31780
07C  | 07C4 | 0000_0111_1100_0100 |     1988 |  -60 | 1988 | 1988
07D  | 0025 | 0000_0000_0010_0101 |       37 |   37 |   37 |   37
07E  | 78A1 | 0111_1000_1010_0001 |    30881 |  161 | -1887 | 30881
07F  | 7FA5 | 0111_1111_1010_0101 |    32677 |  -91 |  -91 | 32677
080  | 7F47 | 0111_1111_0100_0111 |    32583 | -185 | -185 | 32583
081  | 7C05 | 0111_1100_0000_0101 |    31749 |    5 | -1019 | 31749
082  | 07B9 | 0000_0111_1011_1001 |     1977 |  -71 | 1977 | 1977
083  | 0341 | 0000_0011_0100_0001 |      833 | -191 |  833 |  833
084  | 7F9F | 0111_1111_1001_1111 |    32671 |  -97 |  -97 | 32671
085  | 7C21 | 0111_1100_0010_0001 |    31777 |   33 | -991 | 31777
086  | 78E0 | 0111_1000_1110_0000 |    30944 |  224 | -1824 | 30944
087  | 7B99 | 0111_1011_1001_1001 |    31641 | -103 | -1127 | 31641
088  | 00A4 | 0000_0000_1010_0100 |      164 |  164 |  164 |  164
089  | 0080 | 0000_0000_1000_0000 |      128 |  128 |  128 |  128
08A  | 0880 | 0000_1000_1000_0000 |     2176 |  128 | -1920 | 2176
08B  | 7887 | 0111_1000_1000_0111 |    30855 |  135 | -1913 | 30855
08C  | 08A3 | 0000_1000_1010_0011 |     2211 |  163 | -1885 | 2211
08D  | 04FB | 0000_0100_1111_1011 |     1275 |  251 | 1275 | 1275
08E  | 08D9 | 0000_1000_1101_1001 |     2265 |  217 | -1831 | 2265
08F  | 7F80 | 0111_1111_1000_0000 |    32640 | -128 | -128 | 32640
090  | 0B5B | 0000_1011_0101_1011 |     2907 | -165 | -1189 | 2907
091  | 00BB | 0000_0000_1011_1011 |      187 |  187 |  187 |  187
092  | 0499 | 0000_0100_1001_1001 |     1177 |  153 | 1177 | 1177
093  | 7CE3 | 0111_1100_1110_0011 |    31971 |  227 | -797 | 31971
094  | 0BDD | 0000_1011_1101_1101 |     3037 |  -35 | -1059 | 3037
095  | 04A2 | 0000_0100_1010_0010 |     1186 |  162 | 1186 | 1186
096  | 047F | 0000_0100_0111_1111 |     1151 |  127 | 1151 | 1151
097  | 7CC2 | 0111_1100_1100_0010 |    31938 |  194 | -830 | 31938
098  | 0B41 | 0000_1011_0100_0001 |     2881 | -191 | -1215 | 2881
099  | 0484 | 0000_0100_1000_0100 |     1156 |  132 | 1156 | 1156
09A  | 07FF | 0000_0111_1111_1111 |     2047 |   -1 | 2047 | 2047
09B  | 7B61 | 0111_1011_0110_0001 |    31585 | -159 | -1183 | 31585
09C  | 04E0 | 0000_0100_1110_0000 |     1248 |  224 | 1248 | 1248
09D  | 7B64 | 0111_1011_0110_0100 |    31588 | -156 | -1180 | 31588
09E  | 0BBA | 0000_1011_1011_1010 |     3002 |  -70 | -1094 | 3002
09F  | 0B79 | 0000_1011_0111_1001 |     2937 | -135 | -1159 | 2937
0A0  | 0B5F | 0000_1011_0101_1111 |     2911 | -161 | -1185 | 2911
0A1  | 005F | 0000_0000_0101_1111 |       95 |   95 |   95 |   95
0A2  | 0826 | 0000_1000_0010_0110 |     2086 |   38 | -2010 | 2086
0A3  | 0740 | 0000_0111_0100_0000 |     1856 | -192 | 1856 | 1856
0A4  | 7CDD | 0111_1100_1101_1101 |    31965 |  221 | -803 | 31965
0A5  | 787B | 0111_1000_0111_1011 |    30843 |  123 | -1925 | 30843
0A6  | 0344 | 0000_0011_0100_0100 |      836 | -188 |  836 |  836
0A7  | 08A0 | 0000_1000_1010_0000 |     2208 |  160 | -1888 | 2208
0A8  | 08FE | 0000_1000_1111_1110 |     2302 |  254 | -1794 | 2302
0A9  | 7C03 | 0111_1100_0000_0011 |    31747 |    3 | -1021 | 31747
0AA  | 7CFB | 0111_1100_1111_1011 |    31995 |  251 | -773 | 31995
0AB  | 0039 | 0000_0000_0011_1001 |       57 |   57 |   57 |   57
0AC  | 7BFB | 0111_1011_1111_1011 |    31739 |   -5 | -1029 | 31739
0AD  | 0B7D | 0000_1011_0111_1101 |     2941 | -131 | -1155 | 2941
0AE  | 0027 | 0000_0000_0010_0111 |       39 |   39 |   39 |   39
0AF  | 0766 | 0000_0111_0110_0110 |     1894 | -154 | 1894 | 1894
0B0  | 07BB | 0000_0111_1011_1011 |     1979 |  -69 | 1979 | 1979
0B1  | 0039 | 0000_0000_0011_1001 |       57 |   57 |   57 |   57
0B2  | 089D | 0000_1000_1001_1101 |     2205 |  157 | -1891 | 2205
0B3  | 00C2 | 0000_0000_1100_0010 |      194 |  194 |  194 |  194
0B4  | 08DF | 0000_1000_1101_1111 |     2271 |  223 | -1825 | 2271
0B5  | 7F67 | 0111_1111_0110_0111 |    32615 | -153 | -153 | 32615
0B6  | 03E6 | 0000_0011_1110_0110 |      998 |  -26 |  998 |  998
0B7  | 089F | 0000_1000_1001_1111 |     2207 |  159 | -1889 | 2207
0B8  | 0323 | 0000_0011_0010_0011 |      803 | -221 |  803 |  803
0B9  | 0381 | 0000_0011_1000_0001 |      897 | -127 |  897 |  897
0BA  | 0B87 | 0000_1011_1000_0111 |     2951 | -121 | -1145 | 2951
0BB  | 0BE7 | 0000_1011_1110_0111 |     3047 |  -25 | -1049 | 3047
0BC  | 7802 | 0111_1000_0000_0010 |    30722 |    2 | -2046 | 30722
0BD  | 0322 | 0000_0011_0010_0010 |      802 | -222 |  802 |  802
0BE  | 07A4 | 0000_0111_1010_0100 |     1956 |  -92 | 1956 | 1956
0BF  | 03E5 | 0000_0011_1110_0101 |      997 |  -27 |  997 |  997
0C0  | 009B | 0000_0000_1001_1011 |      155 |  155 |  155 |  155
0C1  | 0B87 | 0000_1011_1000_0111 |     2951 | -121 | -1145 | 2951
0C2  | 00BF | 0000_0000_1011_1111 |      191 |  191 |  191 |  191
0C3  | 0399 | 0000_0011_1001_1001 |      921 | -103 |  921 |  921
0C4  | 079C | 0000_0111_1001_1100 |     1948 | -100 | 1948 | 1948
0C5  | 0885 | 0000_1000_1000_0101 |     2181 |  133 | -1915 | 2181
0C6  | 03DC | 0000_0011_1101_1100 |      988 |  -36 |  988 |  988
0C7  | 7FE6 | 0111_1111_1110_0110 |    32742 |  -26 |  -26 | 32742
0C8  | 7B5D | 0111_1011_0101_1101 |    31581 | -163 | -1187 | 31581
0C9  | 04FF | 0000_0100_1111_1111 |     1279 |  255 | 1279 | 1279
0CA  | 03BF | 0000_0011_1011_1111 |      959 |  -65 |  959 |  959
0CB  | 7F85 | 0111_1111_1000_0101 |    32645 | -123 | -123 | 32645
0CC  | 00E7 | 0000_0000_1110_0111 |      231 |  231 |  231 |  231
0CD  | 00C3 | 0000_0000_1100_0011 |      195 |  195 |  195 |  195
0CE  | 08A5 | 0000_1000_1010_0101 |     2213 |  165 | -1883 | 2213
0CF  | 0B7C | 0000_1011_0111_1100 |     2940 | -132 | -1156 | 2940
0D0  | 0BE5 | 0000_1011_1110_0101 |     3045 |  -27 | -1051 | 3045
0D1  | 7C7F | 0111_1100_0111_1111 |    31871 |  127 | -897 | 31871
0D2  | 0083 | 0000_0000_1000_0011 |      131 |  131 |  131 |  131
0D3  | 7BDB | 0111_1011_1101_1011 |    31707 |  -37 | -1061 | 31707
0D4  | 04DE | 0000_0100_1101_1110 |     1246 |  222 | 1246 | 1246
0D5  | 0BE4 | 0000_1011_1110_0100 |     3044 |  -28 | -1052 | 3044
0D6  | 0BBA | 0000_1011_1011_1010 |     3002 |  -70 | -1094 | 3002
0D7  | 00A2 | 0000_0000_1010_0010 |      162 |  162 |  162 |  162
0D8  | 03C5 | 0000_0011_1100_0101 |      965 |  -59 |  965 |  965
0D9  | 7FA6 | 0111_1111_1010_0110 |    32678 |  -90 |  -90 | 32678
0DA  | 7CC1 | 0111_1100_1100_0001 |    31937 |  193 | -831 | 31937
0DB  | 0BFD | 0000_1011_1111_1101 |     3069 |   -3 | -1027 | 3069
0DC  | 035E | 0000_0011_0101_1110 |      862 | -162 |  862 |  862
0DD  | 78C4 | 0111_1000_1100_0100 |    30916 |  196 | -1852 | 30916
0DE  | 0464 | 0000_0100_0110_0100 |     1124 |  100 | 1124 | 1124
0DF  | 03A4 | 0000_0011_1010_0100 |      932 |  -92 |  932 |  932
0E0  | 03C4 | 0000_0011_1100_0100 |      964 |  -60 |  964 |  964
0E1  | 7FDC | 0111_1111_1101_1100 |    32732 |  -36 |  -36 | 32732
0E2  | 04E6 | 0000_0100_1110_0110 |     1254 |  230 | 1254 | 1254
0E3  | 0BA6 | 0000_1011_1010_0110 |     2982 |  -90 | -1114 | 2982
0E4  | 0043 | 0000_0000_0100_0011 |       67 |   67 |   67 |   67
0E5  | 0BE2 | 0000_1011_1110_0010 |     3042 |  -30 | -1054 | 3042
0E6  | 005F | 0000_0000_0101_1111 |       95 |   95 |   95 |   95
0E7  | 0804 | 0000_1000_0000_0100 |     2052 |    4 | -2044 | 2052
0E8  | 07E1 | 0000_0111_1110_0001 |     2017 |  -31 | 2017 | 2017
0E9  | 7FBF | 0111_1111_1011_1111 |    32703 |  -65 |  -65 | 32703
0EA  | 0726 | 0000_0111_0010_0110 |     1830 | -218 | 1830 | 1830
0EB  | 78B9 | 0111_1000_1011_1001 |    30905 |  185 | -1863 | 30905
0EC  | 7FB9 | 0111_1111_1011_1001 |    32697 |  -71 |  -71 | 32697
0ED  | 0441 | 0000_0100_0100_0001 |     1089 |   65 | 1089 | 1089
0EE  | 7B43 | 0111_1011_0100_0011 |    31555 | -189 | -1213 | 31555
0EF  | 00A6 | 0000_0000_1010_0110 |      166 |  166 |  166 |  166
0F0  | 03A1 | 0000_0011_1010_0001 |      929 |  -95 |  929 |  929
0F1  | 0BBC | 0000_1011_1011_1100 |     3004 |  -68 | -1092 | 3004
0F2  | 7F45 | 0111_1111_0100_0101 |    32581 | -187 | -187 | 32581
0F3  | 03A1 | 0000_0011_1010_0001 |      929 |  -95 |  929 |  929
0F4  | 7CBB | 0111_1100_1011_1011 |    31931 |  187 | -837 | 31931
0F5  | 039F | 0000_0011_1001_1111 |      927 |  -97 |  927 |  927
0F6  | 0B3E | 0000_1011_0011_1110 |     2878 | -194 | -1218 | 2878
0F7  | 0760 | 0000_0111_0110_0000 |     1888 | -160 | 1888 | 1888
0F8  | 0B23 | 0000_1011_0010_0011 |     2851 | -221 | -1245 | 2851
0F9  | 7881 | 0111_1000_1000_0001 |    30849 |  129 | -1919 | 30849
0FA  | 0066 | 0000_0000_0110_0110 |      102 |  102 |  102 |  102
0FB  | 78FD | 0111_1000_1111_1101 |    30973 |  253 | -1795 | 30973
0FC  | 7BB9 | 0111_1011_1011_1001 |    31673 |  -71 | -1095 | 31673
0FD  | 7F9B | 0111_1111_1001_1011 |    32667 | -101 | -101 | 32667
0FE  | 03E2 | 0000_0011_1110_0010 |      994 |  -30 |  994 |  994
0FF  | 7BA4 | 0111_1011_1010_0100 |    31652 |  -92 | -1116 | 31652
100  | 0440 | 0000_0100_0100_0000 |     1088 |   64 | 1088 | 1088
101  | 78C7 | 0111_1000_1100_0111 |    30919 |  199 | -1849 | 30919
102  | 0783 | 0000_0111_1000_0011 |     1923 | -125 | 1923 | 1923
103  | 7F5E | 0111_1111_0101_1110 |    32606 | -162 | -162 | 32606
104  | 7B80 | 0111_1011_1000_0000 |    31616 | -128 | -1152 | 31616
105  | 0881 | 0000_1000_1000_0001 |     2177 |  129 | -1919 | 2177
106  | 7F5C | 0111_1111_0101_1100 |    32604 | -164 | -164 | 32604
107  | 0419 | 0000_0100_0001_1001 |     1049 |   25 | 1049 | 1049
108  | 7F66 | 0111_1111_0110_0110 |    32614 | -154 | -154 | 32614
109  | 7839 | 0111_1000_0011_1001 |    30777 |   57 | -1991 | 30777
10A  | 00A2 | 0000_0000_1010_0010 |      162 |  162 |  162 |  162
10B  | 039C | 0000_0011_1001_1100 |      924 | -100 |  924 |  924
10C  | 04A4 | 0000_0100_1010_0100 |     1188 |  164 | 1188 | 1188
10D  | 07C6 | 0000_0111_1100_0110 |     1990 |  -58 | 1990 | 1990
10E  | 005F | 0000_0000_0101_1111 |       95 |   95 |   95 |   95
10F  | 07BA | 0000_0111_1011_1010 |     1978 |  -70 | 1978 | 1978
110  | 7C5B | 0111_1100_0101_1011 |    31835 |   91 | -933 | 31835
111  | 08B9 | 0000_1000_1011_1001 |     2233 |  185 | -1863 | 2233
112  | 0B3D | 0000_1011_0011_1101 |     2877 | -195 | -1219 | 2877
113  | 7C39 | 0111_1100_0011_1001 |    31801 |   57 | -967 | 31801
114  | 0B20 | 0000_1011_0010_0000 |     2848 | -224 | -1248 | 2848
115  | 7819 | 0111_1000_0001_1001 |    30745 |   25 | -2023 | 30745
116  | 7C23 | 0111_1100_0010_0011 |    31779 |   35 | -989 | 31779
117  | 0439 | 0000_0100_0011_1001 |     1081 |   57 | 1081 | 1081
118  | 7F3A | 0111_1111_0011_1010 |    32570 | -198 | -198 | 32570
119  | 035A | 0000_0011_0101_1010 |      858 | -166 |  858 |  858
11A  | 0484 | 0000_0100_1000_0100 |     1156 |  132 | 1156 | 1156
11B  | 00BE | 0000_0000_1011_1110 |      190 |  190 |  190 |  190
11C  | 073F | 0000_0111_0011_1111 |     1855 | -193 | 1855 | 1855
11D  | 085D | 0000_1000_0101_1101 |     2141 |   93 | -1955 | 2141
11E  | 7F59 | 0111_1111_0101_1001 |    32601 | -167 | -167 | 32601
11F  | 7859 | 0111_1000_0101_1001 |    30809 |   89 | -1959 | 30809
120  | 049B | 0000_0100_1001_1011 |     1179 |  155 | 1179 | 1179
121  | 0406 | 0000_0100_0000_0110 |     1030 |    6 | 1030 | 1030
122  | 03BA | 0000_0011_1011_1010 |      954 |  -70 |  954 |  954
123  | 089D | 0000_1000_1001_1101 |     2205 |  157 | -1891 | 2205
124  | 0064 | 0000_0000_0110_0100 |      100 |  100 |  100 |  100
125  | 03E2 | 0000_0011_1110_0010 |      994 |  -30 |  994 |  994
126  | 0B5E | 0000_1011_0101_1110 |     2910 | -162 | -1186 | 2910
127  | 781F | 0111_1000_0001_1111 |    30751 |   31 | -2017 | 30751
128  | 007C | 0000_0000_0111_1100 |      124 |  124 |  124 |  124
129  | 03DF | 0000_0011_1101_1111 |      991 |  -33 |  991 |  991
12A  | 0403 | 0000_0100_0000_0011 |     1027 |    3 | 1027 | 1027
12B  | 0B20 | 0000_1011_0010_0000 |     2848 | -224 | -1248 | 2848
12C  | 7CE3 | 0111_1100_1110_0011 |    31971 |  227 | -797 | 31971
12D  | 7B39 | 0111_1011_0011_1001 |    31545 | -199 | -1223 | 31545
12E  | 7887 | 0111_1000_1000_0111 |    30855 |  135 | -1913 | 30855
12F  | 0BFE | 0000_1011_1111_1110 |     3070 |   -2 | -1026 | 3070
130  | 0400 | 0000_0100_0000_0000 |     1024 |    0 | 1024 | 1024
131  | 04BD | 0000_0100_1011_1101 |     1213 |  189 | 1213 | 1213
132  | 0B7C | 0000_1011_0111_1100 |     2940 | -132 | -1156 | 2940
133  | 07BA | 0000_0111_1011_1010 |     1978 |  -70 | 1978 | 1978
134  | 789E | 0111_1000_1001_1110 |    30878 |  158 | -1890 | 30878
135  | 7B3E | 0111_1011_0011_1110 |    31550 | -194 | -1218 | 31550
136  | 7FE3 | 0111_1111_1110_0011 |    32739 |  -29 |  -29 | 32739
137  | 0BA7 | 0000_1011_1010_0111 |     2983 |  -89 | -1113 | 2983
138  | 0019 | 0000_0000_0001_1001 |       25 |   25 |   25 |   25
139  | 00A1 | 0000_0000_1010_0001 |      161 |  161 |  161 |  161
13A  | 7C04 | 0111_1100_0000_0100 |    31748 |    4 | -1020 | 31748
13B  | 7C23 | 0111_1100_0010_0011 |    31779 |   35 | -989 | 31779
13C  | 07FE | 0000_0111_1111_1110 |     2046 |   -2 | 2046 | 2046
13D  | 7C65 | 0111_1100_0110_0101 |    31845 |  101 | -923 | 31845
13E  | 7F3B | 0111_1111_0011_1011 |    32571 | -197 | -197 | 32571
13F  | 00BC | 0000_0000_1011_1100 |      188 |  188 |  188 |  188
140  | 0764 | 0000_0111_0110_0100 |     1892 | -156 | 1892 | 1892
141  | 7C03 | 0111_1100_0000_0011 |    31747 |    3 | -1021 | 31747
142  | 7F7C | 0111_1111_0111_1100 |    32636 | -132 | -132 | 32636
143  | 041B | 0000_0100_0001_1011 |     1051 |   27 | 1051 | 1051
144  | 0B22 | 0000_1011_0010_0010 |     2850 | -222 | -1246 | 2850
145  | 07BB | 0000_0111_1011_1011 |     1979 |  -69 | 1979 | 1979
146  | 0387 | 0000_0011_1000_0111 |      903 | -121 |  903 |  903
147  | 0BBB | 0000_1011_1011_1011 |     3003 |  -69 | -1093 | 3003
148  | 781C | 0111_1000_0001_1100 |    30748 |   28 | -2020 | 30748
149  | 045F | 0000_0100_0101_1111 |     1119 |   95 | 1119 | 1119
14A  | 00FC | 0000_0000_1111_1100 |      252 |  252 |  252 |  252
14B  | 08C1 | 0000_1000_1100_0001 |     2241 |  193 | -1855 | 2241
14C  | 0799 | 0000_0111_1001_1001 |     1945 | -103 | 1945 | 1945
14D  | 7C60 | 0111_1100_0110_0000 |    31840 |   96 | -928 | 31840
14E  | 079F | 0000_0111_1001_1111 |     1951 |  -97 | 1951 | 1951
14F  | 78FA | 0111_1000_1111_1010 |    30970 |  250 | -1798 | 30970
150  | 0760 | 0000_0111_0110_0000 |     1888 | -160 | 1888 | 1888
151  | 0BF9 | 0000_1011_1111_1001 |     3065 |   -7 | -1031 | 3065
152  | 0B63 | 0000_1011_0110_0011 |     2915 | -157 | -1181 | 2915
153  | 0484 | 0000_0100_1000_0100 |     1156 |  132 | 1156 | 1156
154  | 0B61 | 0000_1011_0110_0001 |     2913 | -159 | -1183 | 2913
