ROW | EXT_1 | EXT_2
104 |     5 |     7
102 |    18 |     2
100 |    -3 |    11
0FE |     7 |     0
0FC |     1 |     7
0FA |    -1 |   -11
0F8 |     5 |    13
0F6 |    -6 |     9
0F4 |    -3 |     9
0F2 |     8 |     2
0F0 |     8 |    -2
12A |     7 |    12
128 |     5 |    10
126 |    -3 |     3
124 |     1 |     1
122 |   -12 |     1
120 |    -8 |   -10
11E |    -1 |    10
11C |    -3 |    12
11A |    16 |    -3
118 |    14 |    20
116 |    -5 |     8
114 |     3 |     3
112 |    -6 |    10
110 |    -3 |    -3
10E |    -3 |     3
148 |     4 |     8
146 |     7 |     3
144 |     0 |    12
142 |    -9 |     8
140 |     4 |     7
13E |    -2 |     8
13C |     0 |    14
13A |     2 |    10
138 |    -7 |     8
136 |     0 |    14
134 |    -2 |     1
132 |     0 |    14
130 |    -6 |    10
12E |     4 |    14
12C |   -13 |    -8
166 |     0 |   -19
164 |     2 |    10
162 |    -6 |    -6
160 |    -6 |    -5
15E |    20 |    12
15C |     2 |     5
15A |     7 |    -3
158 |    17 |    12
156 |     0 |    -1
154 |     7 |     7
152 |     4 |     5
150 |    -4 |   -12
14E |   -11 |   -18
14C |     4 |     1
14A |     2 |    -3
184 |    10 |   -14
182 |   -18 |    -3
180 |    12 |    12
17E |    -3 |    -6
17C |    -3 |    -1
17A |    -3 |     5
178 |    -1 |     1
176 |     3 |    -1
174 |     3 |     7
172 |     1 |    -3
170 |    -5 |     3
16E |    12 |    -5
16C |     1 |    -8
16A |    -1 |     3
168 |     1 |     1
1A2 |    -7 |     9
1A0 |     2 |    11
19E |    -2 |     4
19C |     0 |     0
19A |    13 |    17
198 |    -4 |     2
196 |   -11 |    -4
194 |    -4 |     7
192 |     0 |     7
190 |    -6 |     6
18E |     2 |     7
18C |     0 |     2
18A |     0 |     7
188 |    -6 |     0
186 |     0 |   -11
1C0 |     0 |     3
1BE |   -11 |     3
1BC |     7 |    16
1BA |     0 |     7
1B8 |   -11 |    14
1B6 |   -13 |     5
1B4 |     0 |    -3
1B2 |     9 |    20
1B0 |   -13 |     7
1AE |    -2 |    14
1AC |     0 |    -3
1AA |    -6 |    10
1A8 |    -2 |    14
1A6 |   -13 |    -1
1A4 |     0 |    12
1DE |    -8 |     6
1DC |    -1 |     4
1DA |     1 |     6
1D8 |    -5 |     4
1D6 |     1 |     7
1D4 |     3 |     4
1D2 |     5 |    11
1D0 |    -3 |     4
1CE |    14 |     0
1CC |    14 |     4
1CA |     3 |    -6
1C8 |     1 |     4
1C6 |   -14 |     2
1C4 |   -12 |    19
1C2 |     7 |    -2
1FC |     2 |     1
1FA |     2 |     5
1F8 |     6 |     1
1F6 |     0 |    -1
1F4 |     0 |     7
1F2 |     0 |    -8
1F0 |    -4 |     1
1EE |     0 |     3
1EC |     6 |     3
1EA |    -6 |    -8
1E8 |     2 |     7
1E6 |     2 |     1
1E4 |     6 |    18
1E2 |    -2 |     1
1E0 |     7 |     1
21A |     0 |    14
218 |    -2 |     5
216 |     9 |    10
214 |    13 |    10
212 |     0 |     8
210 |    17 |     1
20E |    13 |    -3
20C |    -2 |     7
20A |     9 |    14
208 |    -2 |     7
206 |     7 |     3
204 |     7 |     3
202 |     0 |    10
200 |     7 |     7
1FE |     0 |    14
238 |     3 |    -9
236 |     8 |    -9
234 |     1 |     0
232 |     3 |   -11
230 |    10 |    -9
22E |     3 |     2
22C |     3 |     9
22A |     1 |    13
228 |    12 |    -9
226 |    -1 |   -13
224 |     1 |     6
222 |     3 |    -2
220 |     1 |     0
21E |     7 |   -11
21C |    -1 |   -13
256 |     6 |     8
254 |     0 |    14
252 |     0 |    14
250 |   -11 |    20
24E |   -15 |    14
24C |    -7 |     7
24A |    -4 |     3
248 |    -7 |     1
246 |    -7 |    14
244 |     4 |     5
242 |   -15 |     3
240 |    -7 |     8
23E |     0 |    10
23C |    -6 |     5
23A |     0 |    -6
274 |    -7 |    -2
272 |    -4 |     2
270 |     0 |     0
26E |     0 |    -4
26C |    13 |    -6
26A |    15 |   -11
268 |    13 |    19
266 |     0 |    13
264 |     0 |     0
262 |     2 |     9
260 |    -6 |     7
25E |     7 |    -4
25C |    -4 |    15
25A |    -7 |   -13
258 |     0 |    -6
292 |    -2 |    -4
290 |     0 |    -9
28E |   -11 |     0
28C |    -6 |     2
28A |   -15 |     0
288 |    -9 |     0
286 |   -11 |     0
284 |    -6 |    -6
282 |     0 |   -13
280 |   -19 |    -4
27E |     2 |     0
27C |    -7 |    -4
27A |    -7 |    -2
278 |    -6 |    -6
276 |     9 |    -9
2B0 |    -7 |    -3
2AE |    -9 |     3
2AC |    15 |    -5
2AA |   -13 |    16
2A8 |    -7 |     7
2A6 |    13 |     5
2A4 |    11 |    20
2A2 |     9 |     3
2A0 |     4 |    21
29E |     7 |    10
29C |     7 |     1
29A |     9 |     1
298 |     4 |    18
296 |    19 |     1
294 |    13 |    23
2CE |    -7 |    -2
2CC |     0 |    -9
2CA |    -4 |    -6
2C8 |    -2 |     0
2C6 |    -4 |     9
2C4 |    -7 |     4
2C2 |     7 |     0
2C0 |     9 |    -9
2BE |     0 |    -9
2BC |    -4 |     0
2BA |    -6 |     2
2B8 |     0 |   -13
2B6 |    -6 |     6
2B4 |     6 |     0
2B2 |     0 |    -7
2EC |     0 |     7
2EA |     6 |     0
2E8 |     9 |     6
2E6 |     2 |     0
2E4 |    13 |    -4
2E2 |     4 |     9
2E0 |     2 |     7
2DE |    13 |   -13
2DC |    17 |     0
2DA |    -7 |     4
2D8 |     2 |     2
2D6 |    19 |    19
2D4 |     6 |     0
2D2 |    -9 |    -9
2D0 |    17 |     6
30A |     7 |     7
308 |     0 |    -7
306 |    -6 |     0
304 |    -9 |     0
302 |     0 |    -4
300 |    -9 |     6
2FE |     4 |    -6
2FC |     0 |     2
2FA |    -2 |    -9
2F8 |    -6 |    -4
2F6 |    -2 |    -2
2F4 |     0 |     6
2F2 |     2 |    -2
2F0 |   -17 |    13
2EE |    -4 |    -4
328 |     3 |   -14
326 |     1 |    -1
324 |    10 |   -10
322 |     1 |    -3
320 |     8 |    -8
31E |    14 |    -6
31C |     5 |    -6
31A |     5 |   -10
318 |     1 |     3
316 |    -1 |   -12
314 |    -3 |    10
312 |   -10 |     8
310 |    -8 |    -6
30E |     8 |     5
30C |    -6 |     5
346 |     3 |    -8
344 |     1 |    -5
342 |     1 |     3
340 |     5 |    -6
33E |    -1 |     5
33C |    20 |    16
33A |     7 |    -6
338 |    10 |     5
336 |    -8 |     7
334 |    -8 |     8
332 |    14 |   -14
330 |     7 |   -10
32E |    -5 |     1
32C |    -1 |    -6
32A |     1 |     1
364 |    -1 |     6
362 |     7 |    11
360 |     3 |     2
35E |     3 |    -2
35C |    -6 |     7
35A |     3 |    13
358 |    -8 |    13
356 |    -6 |     0
354 |    -3 |     9
352 |     5 |     7
350 |     5 |    11
34E |     1 |     7
34C |    -8 |    -4
34A |    -3 |     9
348 |     3 |     4
382 |    -7 |    -9
380 |   -11 |    -9
37E |    -6 |    -4
37C |    15 |     7
37A |   -11 |   -11
378 |     4 |    -2
376 |    -6 |    -4
374 |     4 |    -7
372 |    -9 |    -7
370 |    -2 |    -4
36E |    -9 |     6
36C |    -2 |    -9
36A |    -6 |     4
368 |    -4 |    -4
366 |     0 |    -4
3A0 |     0 |     1
39E |   -11 |   -25
39C |    -4 |     8
39A |     9 |    -8
398 |     0 |    -5
396 |    -9 |     5
394 |     4 |     5
392 |     9 |   -12
390 |     0 |   -10
38E |     7 |    -5
38C |     9 |    -3
38A |     0 |    -1
388 |     0 |    -1
386 |     4 |     8
384 |     2 |    12
3BE |     1 |     9
3BC |    -5 |    -4
3BA |     7 |    11
3B8 |    -1 |     7
3B6 |   -10 |    11
3B4 |    10 |    13
3B2 |    14 |    -2
3B0 |     1 |    -2
3AE |    -3 |    11
3AC |    -6 |     6
3AA |     8 |     4
3A8 |     7 |    -4
3A6 |    16 |   -15
3A4 |     8 |     7
3A2 |    10 |    -6
3DC |    13 |     7
3DA |     9 |     2
3D8 |     2 |     0
3D6 |     7 |     2
3D4 |     4 |   -13
3D2 |    -7 |     0
3D0 |    -4 |     0
3CE |     0 |     6
3CC |     6 |    -9
3CA |     9 |   -13
3C8 |    11 |    -4
3C6 |     9 |    -9
3C4 |    22 |    -6
3C2 |    -7 |     6
3C0 |     2 |    -2
3FA |     1 |     3
3F8 |     8 |     1
3F6 |     8 |     7
3F4 |     1 |     1
3F2 |     5 |    10
3F0 |     7 |     8
3EE |     1 |    -5
3EC |     1 |     1
3EA |     5 |     7
3E8 |    -8 |   -10
3E6 |    -1 |     1
3E4 |    -5 |     7
3E2 |    -8 |     1
3E0 |     5 |     3
3DE |     8 |     3
418 |   -22 |   -19
416 |     0 |    -2
414 |     0 |     4
412 |    -7 |     0
410 |     2 |     4
40E |     2 |     6
40C |    -4 |    -2
40A |    -2 |    11
408 |     7 |     9
406 |     2 |    -9
404 |     0 |    -6
402 |     0 |    13
400 |     0 |     4
3FE |    -2 |     0
3FC |    -4 |    -7
436 |    -6 |   -12
434 |    -3 |    -6
432 |    -6 |   -25
430 |   -16 |   -29
42E |   -14 |   -16
42C |    -6 |     3
42A |    -3 |   -16
428 |   -18 |   -14
426 |     1 |    -3
424 |   -16 |     8
422 |    -8 |   -18
420 |    -6 |    -6
41E |     1 |   -10
41C |     8 |   -23
41A |    10 |    14
454 |    11 |     6
452 |     0 |     0
450 |     0 |     7
44E |     0 |     0
44C |     0 |     2
44A |     4 |     0
448 |     4 |     4
446 |     6 |     7
444 |     4 |     4
442 |     6 |     2
440 |     7 |    -2
43E |     6 |     2
43C |     7 |    11
43A |     0 |     0
438 |     4 |     4
472 |     4 |     3
470 |     7 |    -8
46E |    19 |    10
46C |    13 |    23
46A |     0 |     8
468 |     0 |    12
466 |    20 |    -8
464 |    13 |     1
462 |     0 |     5
460 |     4 |    -3
45E |     4 |    10
45C |     0 |     7
45A |    -4 |    -3
458 |     4 |    -1
456 |    -7 |    -5
490 |     7 |    -2
48E |     1 |     0
48C |    -3 |     2
48A |   -10 |    15
488 |    -3 |     0
486 |   -10 |   -11
484 |    25 |     4
482 |     1 |    11
480 |     7 |    -2
47E |    -1 |    -4
47C |   -18 |   -11
47A |    -6 |     9
478 |     5 |   -19
476 |   -12 |    -9
474 |   -10 |     9
4AE |     5 |     2
4AC |     1 |    13
4AA |   -10 |     7
4A8 |     7 |     2
4A6 |    12 |    -4
4A4 |    12 |    -4
4A2 |     5 |    13
4A0 |    -5 |     0
49E |     8 |     0
49C |     7 |   -13
49A |     3 |     0
498 |    12 |    11
496 |     8 |    13
494 |     7 |    11
492 |     1 |     4
4CC |   -13 |     1
4CA |     2 |     8
4C8 |    -6 |     1
4C6 |    -2 |    10
4C4 |    -2 |    -1
4C2 |     4 |    -1
4C0 |     9 |    10
4BE |     2 |    18
4BC |    -2 |    14
4BA |   -15 |    27
4B8 |   -15 |    31
4B6 |    -6 |    14
4B4 |   -11 |    -5
4B2 |    11 |    10
4B0 |     2 |     3
4EA |     1 |     7
4E8 |    20 |    16
4E6 |     3 |     1
4E4 |    -3 |    -3
4E2 |    16 |    -3
4E0 |    -5 |    -1
4DE |     7 |     8
4DC |     7 |    -1
4DA |    -5 |     1
4D8 |     1 |    -3
4D6 |    -8 |   -12
4D4 |     1 |    -5
4D2 |     1 |    -1
4D0 |     1 |    -6
4CE |     1 |    -1
508 |     0 |    -6
506 |     4 |   -11
504 |     7 |    -6
502 |     0 |    -4
500 |     6 |    -6
4FE |    -4 |    -9
4FC |     7 |   -13
4FA |     0 |    -4
4F8 |     0 |    -4
4F6 |     0 |   -13
4F4 |     6 |    -2
4F2 |     0 |    -4
4F0 |    -2 |    -9
4EE |     2 |    -6
4EC |   -11 |     6
526 |    17 |    -2
524 |     2 |     4
522 |     4 |     0
520 |     7 |     0
51E |     9 |     0
51C |     2 |     0
51A |     4 |     9
518 |     2 |    17
516 |    -4 |    13
514 |     0 |     2
512 |     2 |     6
510 |     2 |    13
50E |    -2 |    -6
50C |     0 |    11
50A |    -2 |    -9
544 |    -6 |     1
542 |     1 |     5
540 |     1 |     7
53E |     5 |    -1
53C |     7 |     3
53A |   -16 |    -1
538 |     3 |     1
536 |    -1 |    -8
534 |     1 |    -5
532 |    -5 |     5
530 |     1 |     8
52E |   -27 |   -19
52C |     7 |    -6
52A |    10 |     7
528 |     7 |    10
562 |     1 |     1
560 |     7 |    -5
55E |   -12 |    -1
55C |    -1 |    -1
55A |     8 |    10
558 |    -3 |     7
556 |    -3 |     1
554 |     8 |     3
552 |     8 |     1
550 |     1 |    -3
54E |    -5 |     1
54C |     3 |     7
54A |    -6 |     8
548 |    -5 |    10
546 |     8 |    -8
580 |    13 |     4
57E |     0 |     0
57C |     0 |    -6
57A |     0 |    -6
578 |     2 |     4
576 |     0 |    13
574 |    24 |    -4
572 |   -17 |   -15
570 |     0 |     4
56E |     7 |    -2
56C |     0 |     6
56A |     4 |     0
568 |    -2 |    -4
566 |     0 |     2
564 |     0 |     9
59E |     9 |     4
59C |     0 |    -2
59A |     0 |    -2
598 |     7 |    -7
596 |     2 |     0
594 |    -6 |    13
592 |     0 |     2
590 |    11 |    -4
58E |    -4 |     0
58C |    -2 |    13
58A |    -6 |   -11
588 |    22 |   -13
586 |    13 |    11
584 |     0 |    -6
582 |     6 |    -4
5BC |    14 |    13
5BA |    10 |    13
5B8 |     3 |     6
5B6 |    16 |    -7
5B4 |     5 |     6
5B2 |    10 |     9
5B0 |     7 |    -6
5AE |     7 |   -13
5AC |    16 |    11
5AA |     3 |     7
5A8 |    -3 |     0
5A6 |     5 |   -11
5A4 |    18 |     6
5A2 |    -1 |    19
5A0 |     5 |     2
5DA |    -6 |    -2
5D8 |    10 |     4
5D6 |    12 |    13
5D4 |    16 |    -4
5D2 |    16 |    -2
5D0 |    -6 |   -11
5CE |    10 |     6
5CC |    14 |    13
5CA |     8 |    11
5C8 |     7 |     0
5C6 |     5 |     9
5C4 |    18 |    -7
5C2 |     3 |     4
5C0 |    12 |     9
5BE |     5 |     2
5F8 |    -1 |     2
5F6 |   -10 |    17
5F4 |    20 |    13
5F2 |    10 |    -2
5F0 |    -6 |     0
5EE |     1 |    13
5EC |     7 |     7
5EA |    10 |    -4
5E8 |    -5 |     6
5E6 |     1 |     0
5E4 |     1 |     4
5E2 |   -10 |    11
5E0 |     7 |     6
5DE |     1 |     4
5DC |     3 |     2
616 |     8 |   -10
614 |     7 |    -3
612 |     3 |    -5
610 |     7 |    -3
60E |     5 |    -3
60C |   -10 |    18
60A |     1 |     7
608 |    -3 |     3
606 |     3 |   -10
604 |     8 |     1
602 |    12 |     1
600 |    14 |   -12
5FE |     7 |    -6
5FC |     5 |     1
5FA |    -1 |    12
634 |    -5 |     8
632 |     7 |     5
630 |    -5 |     8
62E |    -3 |     3
62C |    -6 |     7
62A |     1 |     3
628 |    -8 |    14
626 |   -12 |   -12
624 |     8 |    -1
622 |   -10 |    12
620 |     1 |     8
61E |    -1 |     1
61C |     3 |    16
61A |     1 |    14
618 |     1 |     3
652 |     5 |     7
650 |     3 |     1
64E |    16 |    16
64C |    27 |    27
64A |    20 |   -10
648 |    10 |     5
646 |     3 |    10
644 |    -1 |    12
642 |     8 |     3
640 |    -6 |    12
63E |     1 |     8
63C |    -1 |     8
63A |     5 |     5
638 |    -1 |     1
636 |     3 |     3
670 |     0 |   -24
66E |     9 |   -13
66C |     2 |   -11
66A |    15 |     0
668 |    13 |    -9
666 |     4 |     0
664 |    13 |   -15
662 |     4 |    -2
660 |    -2 |    -6
65E |     0 |    -6
65C |    13 |     2
65A |    -9 |   -13
658 |     6 |     0
656 |    13 |     0
654 |     0 |    -7
68E |    16 |   -12
68C |    -3 |     8
68A |    -1 |    -6
688 |    10 |     1
686 |    10 |     3
684 |    -1 |     1
682 |     5 |   -10
680 |     1 |    -3
67E |     3 |    -3
67C |     5 |    10
67A |     3 |    -1
678 |     1 |     5
676 |     1 |     1
674 |     3 |     1
672 |   -10 |     5
6AC |     4 |    11
6AA |     4 |     6
6A8 |    11 |     0
6A6 |    -7 |    13
6A4 |    20 |   -13
6A2 |   -22 |     7
6A0 |    17 |     6
69E |   -13 |   -13
69C |    -2 |    -2
69A |    11 |    -2
698 |    -7 |    -4
696 |    15 |     6
694 |     0 |     4
692 |     6 |     6
690 |     6 |     6
6CA |    -4 |    10
6C8 |     9 |     5
6C6 |     9 |     5
6C4 |     6 |    -3
6C2 |     4 |     7
6C0 |     9 |     3
6BE |     6 |    -3
6BC |     4 |    10
6BA |     2 |     1
6B8 |     2 |    -1
6B6 |     6 |     8
6B4 |     0 |     8
6B2 |     0 |    -8
6B0 |     7 |     3
6AE |     4 |     1
6E8 |    11 |    -1
6E6 |     2 |    -3
6E4 |    -2 |     1
6E2 |    26 |    -5
6E0 |     4 |    -5
6DE |    13 |    -1
6DC |    17 |    -3
6DA |    13 |   -14
6D8 |    19 |   -12
6D6 |     6 |     1
6D4 |    26 |   -10
6D2 |     9 |    -1
6D0 |    -7 |     1
6CE |     6 |   -10
6CC |    -7 |     8
706 |    25 |    13
704 |     3 |    -2
702 |     8 |   -13
700 |     5 |     7
6FE |    -1 |    -2
6FC |    12 |    11
6FA |     3 |    -9
6F8 |    10 |     6
6F6 |     3 |    13
6F4 |     1 |     0
6F2 |     1 |    -6
6F0 |     1 |     0
6EE |     7 |     4
6EC |    10 |     6
6EA |     7 |     6
724 |     1 |    -9
722 |    10 |   -13
720 |    -5 |     0
71E |     3 |     0
71C |    -1 |     4
71A |    -8 |     0
718 |     7 |    -2
716 |   -12 |    -9
714 |     3 |     0
712 |    -3 |     0
710 |    -6 |    -9
70E |    -5 |     0
70C |     1 |     2
70A |    -3 |     0
708 |     1 |     7
742 |     0 |    -5
740 |     2 |     1
73E |     2 |     1
73C |     0 |     3
73A |    -6 |    10
738 |     7 |     1
736 |     0 |     7
734 |     7 |     7
732 |     7 |    12
730 |     6 |    -1
72E |    -4 |    -3
72C |     0 |     8
72A |     6 |     1
728 |     0 |    12
726 |     2 |     3
760 |     1 |     0
75E |    -5 |    13
75C |     8 |     4
75A |    -1 |     9
758 |    10 |    -4
756 |     7 |    -4
754 |    10 |    15
752 |   -12 |   -13
750 |   -19 |    19
74E |     5 |     0
74C |    -8 |     0
74A |    -6 |     9
748 |    -5 |    -6
746 |     5 |    -4
744 |    -3 |     2
77E |    11 |     4
77C |     4 |    -4
77A |     4 |     4
778 |     7 |    -6
776 |    13 |     0
774 |    15 |     0
772 |     7 |     2
770 |    11 |    11
76E |     0 |     0
76C |     4 |    -4
76A |     6 |     0
768 |     4 |     0
766 |     0 |    -2
764 |     9 |     0
762 |     9 |    -2
79C |    -3 |    -5
79A |    -3 |     1
798 |    -3 |    -3
796 |    -5 |    -1
794 |    -5 |   -21
792 |    -3 |   -14
790 |   -12 |    -8
78E |   -18 |   -10
78C |    -8 |     7
78A |   -21 |    -8
788 |     1 |     1
786 |     1 |   -12
784 |    -5 |    -8
782 |    -6 |   -10
780 |     3 |     3
7BA |    13 |    17
7B8 |     7 |     0
7B6 |    11 |     7
7B4 |    13 |     0
7B2 |     0 |     4
7B0 |     4 |     0
7AE |    11 |     0
7AC |     0 |    11
7AA |     2 |    13
7A8 |     6 |    -7
7A6 |     7 |     6
7A4 |     7 |     7
7A2 |    15 |     4
7A0 |     7 |     2
79E |     0 |     7
7D8 |    -5 |    12
7D6 |    -1 |   -12
7D4 |     3 |   -10
7D2 |     5 |     1
7D0 |    -1 |     5
7CE |    -3 |    -3
7CC |    -1 |    -5
7CA |     1 |     1
7C8 |    14 |    -5
7C6 |     3 |   -10
7C4 |     5 |     1
7C2 |     7 |    -5
7C0 |    -1 |     1
7BE |    10 |   -12
7BC |    -6 |    10
7F6 |    11 |    12
7F4 |     9 |     1
7F2 |     0 |     1
7F0 |    -4 |     5
7EE |     2 |    -1
7EC |    -4 |     1
7EA |    -4 |    10
7E8 |    13 |     1
7E6 |    11 |     1
7E4 |     2 |    10
7E2 |     4 |     1
7E0 |     2 |     1
7DE |     6 |     1
7DC |    17 |    16
7DA |     6 |     3
814 |     9 |    -4
812 |     0 |     2
810 |     0 |     2
80E |     0 |    11
80C |    11 |     0
80A |    -4 |    13
808 |    13 |     0
806 |    17 |    13
804 |    -9 |    -4
802 |     0 |     6
800 |     6 |    -2
7FE |     6 |     4
7FC |    11 |    -6
7FA |     2 |     7
7F8 |     2 |     2
832 |    13 |     7
830 |     9 |    -5
82E |    -6 |   -12
82C |    17 |     1
82A |     9 |     1
828 |    13 |    -3
826 |    15 |     7
824 |    13 |    -5
822 |     2 |    -5
820 |     6 |     8
81E |    17 |    -3
81C |     4 |    -3
81A |    17 |     3
818 |     0 |    -5
816 |     6 |    10
850 |    -5 |    -1
84E |    -1 |     1
84C |    -3 |   -12
84A |     1 |    -1
848 |     1 |     3
846 |    -8 |    -8
844 |     1 |    -3
842 |     3 |    -3
840 |     3 |     5
83E |     1 |    -8
83C |     1 |    -3
83A |   -12 |    -1
838 |   -10 |     3
836 |    -8 |   -10
834 |     8 |    14
86E |    -2 |    -3
86C |    -9 |    -1
86A |   -11 |     1
868 |   -11 |   -12
866 |    11 |   -12
864 |     0 |    -6
862 |    -7 |   -10
860 |    -6 |   -12
85E |     0 |   -10
85C |    -4 |    -5
85A |    -2 |    -6
858 |    -7 |   -10
856 |    -4 |    -6
854 |    -9 |    -5
852 |     0 |     3
88C |   -10 |     4
88A |    -1 |     6
888 |     1 |     9
886 |     7 |     2
884 |    -6 |    13
882 |    10 |    -4
880 |    -3 |     2
87E |   -10 |     7
87C |     7 |    13
87A |    -3 |    19
878 |   -19 |    20
876 |     5 |     9
874 |    -1 |     4
872 |    -5 |     6
870 |     5 |     0
8AA |    11 |     0
8A8 |    -9 |    13
8A6 |     0 |    -2
8A4 |    -7 |     0
8A2 |    -2 |    -7
8A0 |     2 |     2
89E |    -7 |     0
89C |     0 |    -9
89A |    -4 |     4
898 |    -4 |    -7
896 |     0 |    -6
894 |    -4 |    19
892 |   -11 |     0
890 |    19 |    13
88E |     0 |     0
8C8 |     2 |     7
8C6 |    11 |     1
8C4 |     0 |     7
8C2 |     7 |     7
8C0 |     0 |     1
8BE |     2 |    -1
8BC |    11 |    23
8BA |    13 |    12
8B8 |    -2 |     7
8B6 |    13 |     7
8B4 |     0 |     3
8B2 |    -9 |    16
8B0 |     2 |     8
8AE |     2 |     1
8AC |    -4 |     5
8E6 |   -13 |    -6
8E4 |   -19 |    -2
8E2 |   -13 |    -2
8E0 |     4 |     0
8DE |     0 |   -11
8DC |   -13 |    -9
8DA |     4 |   -26
8D8 |     6 |     0
8D6 |     0 |     2
8D4 |    -6 |    -4
8D2 |    -6 |    -9
8D0 |    13 |     9
8CE |    -2 |     2
8CC |   -11 |     4
8CA |   -13 |   -13
904 |     2 |    13
902 |     0 |     2
900 |    20 |    17
8FE |     0 |    15
8FC |    -7 |    24
8FA |     7 |    15
8F8 |     7 |    11
8F6 |    15 |    -2
8F4 |   -11 |     2
8F2 |     4 |     9
8F0 |     9 |     4
8EE |     6 |    13
8EC |     2 |     6
8EA |    -6 |    19
8E8 |   -15 |   -19
922 |     9 |    -6
920 |     6 |     6
91E |    11 |     0
91C |     2 |     0
91A |     6 |     2
918 |     7 |     2
916 |     6 |    -2
914 |     0 |     0
912 |    -4 |     6
910 |     4 |    11
90E |     6 |     6
90C |     4 |     0
90A |     2 |     6
908 |     0 |     2
906 |     4 |     7
940 |    -6 |    -1
93E |    -3 |     1
93C |    12 |   -14
93A |   -16 |     8
938 |     1 |   -10
936 |     3 |    -3
934 |    12 |     3
932 |     1 |    -8
930 |     7 |    -5
92E |     1 |   -10
92C |     1 |    -1
92A |    -3 |   -14
928 |    -1 |    -6
926 |     3 |    -3
924 |     5 |    -8
95E |    -4 |    -7
95C |   -13 |   -13
95A |     0 |     0
958 |     0 |     0
956 |     2 |     0
954 |     0 |    -2
952 |   -13 |     0
950 |   -17 |   -13
94E |     2 |    -4
94C |     0 |    -6
94A |   -13 |     4
948 |    -4 |    -9
946 |    -2 |    -9
944 |    -9 |     0
942 |     4 |     4
97C |     0 |    -8
97A |     4 |     3
978 |     0 |    -1
976 |     0 |     5
974 |     0 |    -6
972 |    -7 |    -3
970 |    -2 |    -1
96E |     9 |     7
96C |     4 |     5
96A |    -2 |    12
968 |     2 |    -6
966 |     7 |     1
964 |    -6 |    12
962 |     6 |     1
960 |     6 |     1
99A |     0 |     5
998 |    -4 |    14
996 |     0 |     7
994 |     2 |     7
992 |     7 |     5
990 |    -7 |    10
98E |    11 |    14
98C |     0 |    12
98A |     2 |     8
988 |     4 |    10
986 |     0 |    -6
984 |     6 |     7
982 |    -2 |     8
980 |    -6 |    14
97E |    -9 |    -8
9B8 |    11 |     3
9B6 |     2 |    -5
9B4 |     0 |   -10
9B2 |    13 |    -1
9B0 |    24 |   -14
9AE |    15 |   -14
9AC |     7 |     3
