ADDR | HEX  |       BINARY       | UNSIGNED |   S5 |   S6 |   S7 |  S10 |  S12 |  S16
08E  | 157  | 0000_0001_0101_0111 |      343 |   -9 |   23 |  -41 |  343 |  343 |  343
08F  | 250  | 0000_0010_0101_0000 |      592 |  -16 |   16 |  -48 | -432 |  592 |  592
090  | 1e6  | 0000_0001_1110_0110 |      486 |    6 |  -26 |  -26 |  486 |  486 |  486
091  | 08e  | 0000_0000_1000_1110 |      142 |   14 |   14 |   14 |  142 |  142 |  142
092  | 134  | 0000_0001_0011_0100 |      308 |  -12 |  -12 |   52 |  308 |  308 |  308
093  | 3d0  | 0000_0011_1101_0000 |      976 |  -16 |   16 |  -48 |  -48 |  976 |  976
094  | 3fd  | 0000_0011_1111_1101 |     1021 |   -3 |   -3 |   -3 |   -3 | 1021 | 1021
095  | 272  | 0000_0010_0111_0010 |      626 |  -14 |  -14 |  -14 | -398 |  626 |  626
096  | 01a  | 0000_0000_0001_1010 |       26 |   -6 |   26 |   26 |   26 |   26 |   26
097  | 1cf  | 0000_0001_1100_1111 |      463 |   15 |   15 |  -49 |  463 |  463 |  463
098  | 17f  | 0000_0001_0111_1111 |      383 |   -1 |   -1 |   -1 |  383 |  383 |  383
099  | 162  | 0000_0001_0110_0010 |      354 |    2 |  -30 |  -30 |  354 |  354 |  354
09A  | 13c  | 0000_0001_0011_1100 |      316 |   -4 |   -4 |   60 |  316 |  316 |  316
09B  | 284  | 0000_0010_1000_0100 |      644 |    4 |    4 |    4 | -380 |  644 |  644
09C  | 039  | 0000_0000_0011_1001 |       57 |   -7 |   -7 |   57 |   57 |   57 |   57
09D  | 21f  | 0000_0010_0001_1111 |      543 |   -1 |   31 |   31 | -481 |  543 |  543
09E  | 162  | 0000_0001_0110_0010 |      354 |    2 |  -30 |  -30 |  354 |  354 |  354
09F  | 340  | 0000_0011_0100_0000 |      832 |    0 |    0 |  -64 | -192 |  832 |  832
0A0  | 106  | 0000_0001_0000_0110 |      262 |    6 |    6 |    6 |  262 |  262 |  262
0A1  | 27b  | 0000_0010_0111_1011 |      635 |   -5 |   -5 |   -5 | -389 |  635 |  635
0A2  | 17b  | 0000_0001_0111_1011 |      379 |   -5 |   -5 |   -5 |  379 |  379 |  379
0A3  | 2bb  | 0000_0010_1011_1011 |      699 |   -5 |   -5 |   59 | -325 |  699 |  699
0A4  | 3fd  | 0000_0011_1111_1101 |     1021 |   -3 |   -3 |   -3 |   -3 | 1021 | 1021
0A5  | 340  | 0000_0011_0100_0000 |      832 |    0 |    0 |  -64 | -192 |  832 |  832
0A6  | 114  | 0000_0001_0001_0100 |      276 |  -12 |   20 |   20 |  276 |  276 |  276
0A7  | 3bd  | 0000_0011_1011_1101 |      957 |   -3 |   -3 |   61 |  -67 |  957 |  957
0A8  | 3c8  | 0000_0011_1100_1000 |      968 |    8 |    8 |  -56 |  -56 |  968 |  968
0A9  | 188  | 0000_0001_1000_1000 |      392 |    8 |    8 |    8 |  392 |  392 |  392
0AA  | 017  | 0000_0000_0001_0111 |       23 |   -9 |   23 |   23 |   23 |   23 |   23
0AB  | 2fb  | 0000_0010_1111_1011 |      763 |   -5 |   -5 |   -5 | -261 |  763 |  763
0AC  | 387  | 0000_0011_1000_0111 |      903 |    7 |    7 |    7 | -121 |  903 |  903
0AD  | 1aa  | 0000_0001_1010_1010 |      426 |   10 |  -22 |   42 |  426 |  426 |  426
0AE  | 199  | 0000_0001_1001_1001 |      409 |   -7 |   25 |   25 |  409 |  409 |  409
0AF  | 253  | 0000_0010_0101_0011 |      595 |  -13 |   19 |  -45 | -429 |  595 |  595
0B0  | 362  | 0000_0011_0110_0010 |      866 |    2 |  -30 |  -30 | -158 |  866 |  866
0B1  | 1d2  | 0000_0001_1101_0010 |      466 |  -14 |   18 |  -46 |  466 |  466 |  466
0B2  | 1cd  | 0000_0001_1100_1101 |      461 |   13 |   13 |  -51 |  461 |  461 |  461
0B3  | 00a  | 0000_0000_0000_1010 |       10 |   10 |   10 |   10 |   10 |   10 |   10
0B4  | 265  | 0000_0010_0110_0101 |      613 |    5 |  -27 |  -27 | -411 |  613 |  613
0B5  | 28a  | 0000_0010_1000_1010 |      650 |   10 |   10 |   10 | -374 |  650 |  650
0B6  | 25f  | 0000_0010_0101_1111 |      607 |   -1 |   31 |  -33 | -417 |  607 |  607
0B7  | 21a  | 0000_0010_0001_1010 |      538 |   -6 |   26 |   26 | -486 |  538 |  538
0B8  | 09a  | 0000_0000_1001_1010 |      154 |   -6 |   26 |   26 |  154 |  154 |  154
0B9  | 044  | 0000_0000_0100_0100 |       68 |    4 |    4 |  -60 |   68 |   68 |   68
0BA  | 208  | 0000_0010_0000_1000 |      520 |    8 |    8 |    8 | -504 |  520 |  520
0BB  | 105  | 0000_0001_0000_0101 |      261 |    5 |    5 |    5 |  261 |  261 |  261
0BC  | 131  | 0000_0001_0011_0001 |      305 |  -15 |  -15 |   49 |  305 |  305 |  305
0BD  | 07f  | 0000_0000_0111_1111 |      127 |   -1 |   -1 |   -1 |  127 |  127 |  127
0BE  | 02b  | 0000_0000_0010_1011 |       43 |   11 |  -21 |   43 |   43 |   43 |   43
0BF  | 3b4  | 0000_0011_1011_0100 |      948 |  -12 |  -12 |   52 |  -76 |  948 |  948
0C0  | 263  | 0000_0010_0110_0011 |      611 |    3 |  -29 |  -29 | -413 |  611 |  611
0C1  | 07f  | 0000_0000_0111_1111 |      127 |   -1 |   -1 |   -1 |  127 |  127 |  127
0C2  | 334  | 0000_0011_0011_0100 |      820 |  -12 |  -12 |   52 | -204 |  820 |  820
0C3  | 22d  | 0000_0010_0010_1101 |      557 |   13 |  -19 |   45 | -467 |  557 |  557
0C4  | 310  | 0000_0011_0001_0000 |      784 |  -16 |   16 |   16 | -240 |  784 |  784
0C5  | 13d  | 0000_0001_0011_1101 |      317 |   -3 |   -3 |   61 |  317 |  317 |  317
0C6  | 2dd  | 0000_0010_1101_1101 |      733 |   -3 |   29 |  -35 | -291 |  733 |  733
0C7  | 2e1  | 0000_0010_1110_0001 |      737 |    1 |  -31 |  -31 | -287 |  737 |  737
0C8  | 1f9  | 0000_0001_1111_1001 |      505 |   -7 |   -7 |   -7 |  505 |  505 |  505
0C9  | 37c  | 0000_0011_0111_1100 |      892 |   -4 |   -4 |   -4 | -132 |  892 |  892
0CA  | 1f1  | 0000_0001_1111_0001 |      497 |  -15 |  -15 |  -15 |  497 |  497 |  497
0CB  | 13e  | 0000_0001_0011_1110 |      318 |   -2 |   -2 |   62 |  318 |  318 |  318
0CC  | 072  | 0000_0000_0111_0010 |      114 |  -14 |  -14 |  -14 |  114 |  114 |  114
0CD  | 0b9  | 0000_0000_1011_1001 |      185 |   -7 |   -7 |   57 |  185 |  185 |  185
0CE  | 319  | 0000_0011_0001_1001 |      793 |   -7 |   25 |   25 | -231 |  793 |  793
0CF  | 177  | 0000_0001_0111_0111 |      375 |   -9 |   -9 |   -9 |  375 |  375 |  375
0D0  | 0af  | 0000_0000_1010_1111 |      175 |   15 |  -17 |   47 |  175 |  175 |  175
0D1  | 28a  | 0000_0010_1000_1010 |      650 |   10 |   10 |   10 | -374 |  650 |  650
0D2  | 05b  | 0000_0000_0101_1011 |       91 |   -5 |   27 |  -37 |   91 |   91 |   91
0D3  | 3b1  | 0000_0011_1011_0001 |      945 |  -15 |  -15 |   49 |  -79 |  945 |  945
0D4  | 298  | 0000_0010_1001_1000 |      664 |   -8 |   24 |   24 | -360 |  664 |  664
0D5  | 361  | 0000_0011_0110_0001 |      865 |    1 |  -31 |  -31 | -159 |  865 |  865
0D6  | 2a9  | 0000_0010_1010_1001 |      681 |    9 |  -23 |   41 | -343 |  681 |  681
0D7  | 2ea  | 0000_0010_1110_1010 |      746 |   10 |  -22 |  -22 | -278 |  746 |  746
0D8  | 17f  | 0000_0001_0111_1111 |      383 |   -1 |   -1 |   -1 |  383 |  383 |  383
0D9  | 3df  | 0000_0011_1101_1111 |      991 |   -1 |   31 |  -33 |  -33 |  991 |  991
0DA  | 203  | 0000_0010_0000_0011 |      515 |    3 |    3 |    3 | -509 |  515 |  515
0DB  | 34a  | 0000_0011_0100_1010 |      842 |   10 |   10 |  -54 | -182 |  842 |  842
0DC  | 03c  | 0000_0000_0011_1100 |       60 |   -4 |   -4 |   60 |   60 |   60 |   60
0DD  | 243  | 0000_0010_0100_0011 |      579 |    3 |    3 |  -61 | -445 |  579 |  579
0DE  | 1ec  | 0000_0001_1110_1100 |      492 |   12 |  -20 |  -20 |  492 |  492 |  492
0DF  | 136  | 0000_0001_0011_0110 |      310 |  -10 |  -10 |   54 |  310 |  310 |  310
0E0  | 2c9  | 0000_0010_1100_1001 |      713 |    9 |    9 |  -55 | -311 |  713 |  713
0E1  | 01d  | 0000_0000_0001_1101 |       29 |   -3 |   29 |   29 |   29 |   29 |   29
0E2  | 022  | 0000_0000_0010_0010 |       34 |    2 |  -30 |   34 |   34 |   34 |   34
0E3  | 0d4  | 0000_0000_1101_0100 |      212 |  -12 |   20 |  -44 |  212 |  212 |  212
0E4  | 1b1  | 0000_0001_1011_0001 |      433 |  -15 |  -15 |   49 |  433 |  433 |  433
0E5  | 004  | 0000_0000_0000_0100 |        4 |    4 |    4 |    4 |    4 |    4 |    4
0E6  | 0ad  | 0000_0000_1010_1101 |      173 |   13 |  -19 |   45 |  173 |  173 |  173
0E7  | 254  | 0000_0010_0101_0100 |      596 |  -12 |   20 |  -44 | -428 |  596 |  596
0E8  | 38e  | 0000_0011_1000_1110 |      910 |   14 |   14 |   14 | -114 |  910 |  910
0E9  | 301  | 0000_0011_0000_0001 |      769 |    1 |    1 |    1 | -255 |  769 |  769
0EA  | 11d  | 0000_0001_0001_1101 |      285 |   -3 |   29 |   29 |  285 |  285 |  285
0EB  | 2da  | 0000_0010_1101_1010 |      730 |   -6 |   26 |  -38 | -294 |  730 |  730
0EC  | 30a  | 0000_0011_0000_1010 |      778 |   10 |   10 |   10 | -246 |  778 |  778
0ED  | 37b  | 0000_0011_0111_1011 |      891 |   -5 |   -5 |   -5 | -133 |  891 |  891
0EE  | 275  | 0000_0010_0111_0101 |      629 |  -11 |  -11 |  -11 | -395 |  629 |  629
0EF  | 1aa  | 0000_0001_1010_1010 |      426 |   10 |  -22 |   42 |  426 |  426 |  426
0F0  | 1e8  | 0000_0001_1110_1000 |      488 |    8 |  -24 |  -24 |  488 |  488 |  488
0F1  | 0fb  | 0000_0000_1111_1011 |      251 |   -5 |   -5 |   -5 |  251 |  251 |  251
0F2  | 2a2  | 0000_0010_1010_0010 |      674 |    2 |  -30 |   34 | -350 |  674 |  674
0F3  | 1c5  | 0000_0001_1100_0101 |      453 |    5 |    5 |  -59 |  453 |  453 |  453
0F4  | 19f  | 0000_0001_1001_1111 |      415 |   -1 |   31 |   31 |  415 |  415 |  415
0F5  | 04b  | 0000_0000_0100_1011 |       75 |   11 |   11 |  -53 |   75 |   75 |   75
0F6  | 0a5  | 0000_0000_1010_0101 |      165 |    5 |  -27 |   37 |  165 |  165 |  165
0F7  | 0f7  | 0000_0000_1111_0111 |      247 |   -9 |   -9 |   -9 |  247 |  247 |  247
0F8  | 0bc  | 0000_0000_1011_1100 |      188 |   -4 |   -4 |   60 |  188 |  188 |  188
0F9  | 30f  | 0000_0011_0000_1111 |      783 |   15 |   15 |   15 | -241 |  783 |  783
0FA  | 00e  | 0000_0000_0000_1110 |       14 |   14 |   14 |   14 |   14 |   14 |   14
0FB  | 3ce  | 0000_0011_1100_1110 |      974 |   14 |   14 |  -50 |  -50 |  974 |  974
0FC  | 2c9  | 0000_0010_1100_1001 |      713 |    9 |    9 |  -55 | -311 |  713 |  713
0FD  | 390  | 0000_0011_1001_0000 |      912 |  -16 |   16 |   16 | -112 |  912 |  912
0FE  | 0c3  | 0000_0000_1100_0011 |      195 |    3 |    3 |  -61 |  195 |  195 |  195
0FF  | 294  | 0000_0010_1001_0100 |      660 |  -12 |   20 |   20 | -364 |  660 |  660
100  | 345  | 0000_0011_0100_0101 |      837 |    5 |    5 |  -59 | -187 |  837 |  837
101  | 06b  | 0000_0000_0110_1011 |      107 |   11 |  -21 |  -21 |  107 |  107 |  107
102  | 211  | 0000_0010_0001_0001 |      529 |  -15 |   17 |   17 | -495 |  529 |  529
103  | 36d  | 0000_0011_0110_1101 |      877 |   13 |  -19 |  -19 | -147 |  877 |  877
104  | 1a2  | 0000_0001_1010_0010 |      418 |    2 |  -30 |   34 |  418 |  418 |  418
105  | 3aa  | 0000_0011_1010_1010 |      938 |   10 |  -22 |   42 |  -86 |  938 |  938
106  | 1c0  | 0000_0001_1100_0000 |      448 |    0 |    0 |  -64 |  448 |  448 |  448
107  | 170  | 0000_0001_0111_0000 |      368 |  -16 |  -16 |  -16 |  368 |  368 |  368
108  | 300  | 0000_0011_0000_0000 |      768 |    0 |    0 |    0 | -256 |  768 |  768
109  | 01e  | 0000_0000_0001_1110 |       30 |   -2 |   30 |   30 |   30 |   30 |   30
10A  | 29f  | 0000_0010_1001_1111 |      671 |   -1 |   31 |   31 | -353 |  671 |  671
10B  | 27a  | 0000_0010_0111_1010 |      634 |   -6 |   -6 |   -6 | -390 |  634 |  634
10C  | 20d  | 0000_0010_0000_1101 |      525 |   13 |   13 |   13 | -499 |  525 |  525
